hgnc	chrom	all	syn	mis	non	splice_site	frameshift
AAED1	9	4.98783164224726e-06	1.27739235728548e-06	3.3815464937607e-06	1.54289229870547e-07	1.52807434732531e-07	4.31354587425968e-07
AAGAB	15	1.1611752306427e-05	3.14742291230553e-06	7.43517825509465e-06	5.07023426873293e-07	5.042943398291e-07	6.00475989551043e-07
AAK1	2	3.36059285202671e-05	9.66347216556808e-06	2.26474390012441e-05	1.27457108821772e-06	NA	1.8280313352813e-06
AAMDC	11	4.36386413764062e-06	1.01944119726818e-06	2.9819575080345e-06	2.50756711526581e-07	9.03083576709155e-08	2.33729578210789e-07
AAMP	2	2.03441551375005e-05	6.41798832732637e-06	1.29932962963227e-05	4.97365312926666e-07	4.22494686986363e-07	8.26604605857452e-07
AANAT	17	1.27365160507111e-05	4.0408342820258e-06	8.43176418507406e-06	1.73547519964529e-07	9.0370063696663e-08	4.80760839738351e-07
AAR2	20	1.75854049222288e-05	4.98291536538989e-06	1.20627843905591e-05	4.34828927749587e-07	9.06337205794745e-08	7.31592582206013e-07
AARD	8	8.77483643918717e-06	2.81633055605661e-06	5.65166483093282e-06	2.68036177292638e-07	1.89478538772141e-08	2.96437513824862e-07
AARS	16	4.6073645329687e-05	1.30342122212456e-05	3.01311668958444e-05	1.92159808776196e-06	9.68670768065382e-07	1.84133301858164e-06
AARS2	6	5.18027374317439e-05	1.38666122959431e-05	3.48115579520984e-05	1.92542296930639e-06	1.17836913199754e-06	1.87363710662501e-06
AARSD1	17	2.36728950799368e-05	6.35961649695602e-06	1.60643368334234e-05	5.58394887898244e-07	6.71620136656637e-07	1.11544115780729e-06
AASDH	4	3.83024722206662e-05	1.07431115334928e-05	2.54399519670763e-05	1.53314778722034e-06	5.66457425878045e-07	2.08836428009135e-06
AASDHPPT	11	1.37414322072603e-05	3.41253586270473e-06	9.41751532309972e-06	6.60891674036456e-07	2.21968657014146e-07	5.89074546703507e-07
AASS	7	3.60935059515949e-05	9.52168696265589e-06	2.46255985571915e-05	9.4790583423333e-07	9.78495602395168e-07	1.7615229186899e-06
AATF	17	2.33962866216813e-05	6.79821214012262e-06	1.50192881774742e-05	1.07095636150655e-06	4.88365198622853e-07	1.06603490550593e-06
AATK	17	5.52028733343041e-05	2.07537299651308e-05	3.35164664581566e-05	9.16832942832772e-07	NA	2.61283065074911e-06
ABAT	16	2.68871310413207e-05	8.24517091976446e-06	1.72340410022694e-05	7.64900146795943e-07	6.28295952025742e-07	9.52020477107201e-07
ABCA1	9	9.48977897787768e-05	2.64773220309161e-05	6.27195767297213e-05	3.41960457664654e-06	2.25633322668428e-06	4.29834395051022e-06
ABCA10	17	5.39156877073889e-05	1.37745862706291e-05	3.62091798472024e-05	2.33224236026441e-06	1.58661277075392e-06	2.93397129070889e-06
ABCA12	2	9.92651774631492e-05	2.76819656529848e-05	6.49666583496975e-05	4.07088838460226e-06	2.53196042565903e-06	4.93302426859104e-06
ABCA13	7	0.00017339173182662	4.89663449368968e-05	0.000118009658309568	6.39889665001224e-06	NA	9.61331655423288e-06
ABCA2	9	0.000148107169876283	4.89313595251784e-05	9.45989178926435e-05	2.73788527522824e-06	1.81807720003224e-06	4.63088603327404e-06
ABCA3	16	9.88714038256001e-05	3.25974797822971e-05	6.28664373258115e-05	2.12243781919857e-06	1.25980847843694e-06	3.23991000691223e-06
ABCA4	1	0.000104537167369954	3.03569121322696e-05	6.83279142847594e-05	3.33456212745133e-06	2.49638436789795e-06	4.32114683616665e-06
ABCA5	17	5.48882341238141e-05	1.34033534172086e-05	3.72636876111943e-05	2.60285274400204e-06	1.60179105602873e-06	3.12209509752291e-06
ABCA6	17	5.70299171531686e-05	1.52748769339024e-05	3.81521201163156e-05	1.95963888635436e-06	1.63021365163902e-06	3.07458908575443e-06
ABCA7	19	0.000125679058733758	3.98644540253522e-05	8.11251657998041e-05	2.81691854774695e-06	1.85437520605936e-06	4.07981629611547e-06
ABCA8	17	6.09576175033222e-05	1.74120333584736e-05	3.97253272405895e-05	2.22420281850201e-06	1.58298935592097e-06	3.00618042867922e-06
ABCA9	17	6.06369620050578e-05	1.66650787155278e-05	3.95927539291074e-05	2.73850863125478e-06	1.62751648286105e-06	3.08789076900591e-06
ABCB1	7	4.98345533096087e-05	1.25534493393299e-05	3.40513154180978e-05	2.05981547152302e-06	1.15117442047397e-06	2.43420804621443e-06
ABCB10	1	2.55809074790021e-05	7.05828169159201e-06	1.72992257976799e-05	6.89250383880873e-07	5.14589759722874e-07	1.40427770972044e-06
ABCB11	2	5.0220581110736e-05	1.32846979936973e-05	3.4961567880884e-05	1.954845507591e-06	NA	2.51211790564638e-06
ABCB4	7	5.32187973481921e-05	1.52763694515966e-05	3.45848113968117e-05	2.07113674721731e-06	1.26154987582356e-06	2.44560948905553e-06
ABCB5	7	4.92595888753353e-05	1.33031570557628e-05	3.26533019349978e-05	2.50887164105883e-06	7.71886018570295e-07	2.39050251535994e-06
ABCB6	2	4.66453508182983e-05	1.32022015768576e-05	3.09981739868028e-05	1.64172736401962e-06	7.81520897428069e-07	1.60190271893716e-06
ABCB7	X	3.06221872649228e-05	8.41550858734757e-06	2.02250851607446e-05	1.30586636703069e-06	6.62494180585719e-07	1.43278131683563e-06
ABCB8	7	4.30891663713304e-05	1.26252248417571e-05	2.87345703714775e-05	1.0421639640886e-06	6.69178405699834e-07	1.36627290026186e-06
ABCB9	12	4.05620932908482e-05	1.30258224063134e-05	2.63967717652439e-05	7.35647687042903e-07	3.83510987404219e-07	1.45748444299063e-06
ABCC1	16	8.52235130403737e-05	2.72009501770768e-05	5.43642511809382e-05	2.3493919832459e-06	1.28990597620455e-06	2.91116840505079e-06
ABCC10	6	7.13788669427544e-05	2.0785313400295e-05	4.72926705259319e-05	2.43182231832239e-06	8.51094540355221e-07	2.78385229331895e-06
ABCC11	16	6.33132403057671e-05	1.86565125424169e-05	4.15589978449605e-05	1.756803777435e-06	1.32140168518842e-06	2.62803257451696e-06
ABCC12	16	6.18705699760236e-05	1.82043817259691e-05	4.04322793888122e-05	1.95534573814663e-06	1.25659529569949e-06	2.58432704362661e-06
ABCC2	10	6.12054897043341e-05	1.69013531759662e-05	4.04188440345822e-05	2.36386144936908e-06	1.50207846925535e-06	2.93777177163789e-06
ABCC3	17	7.47459851029074e-05	2.2157571381724e-05	4.92801348806378e-05	1.97858372872762e-06	1.31608736241697e-06	2.90356744313708e-06
ABCC4	13	5.81139766943276e-05	1.68040993302606e-05	3.79375499877284e-05	2.04803341009971e-06	1.30548664123696e-06	2.51971886754444e-06
ABCC5	3	6.75918094401481e-05	1.96180531022419e-05	4.41386154009646e-05	2.57615948569504e-06	1.23818915587531e-06	2.73254580056159e-06
ABCC6	16	7.33221938092443e-05	2.25260233537352e-05	4.74449605292292e-05	2.09513410889827e-06	1.23832879354505e-06	2.85796167173973e-06
ABCC8	11	8.0178411985786e-05	2.4806607530625e-05	5.15635631458631e-05	2.24519048745973e-06	1.54131515419681e-06	3.00618042867922e-06
ABCC9	12	6.1190861673567e-05	1.61613606952754e-05	4.10416345467958e-05	2.21645775017409e-06	1.75259992160136e-06	2.94537273354453e-06
ABCD1	X	3.7672905484072e-05	1.15847103174297e-05	2.5022651469922e-05	7.35756254317076e-07	3.29787442112248e-07	1.41757939304013e-06
ABCD2	12	2.7441836435878e-05	6.91031381907828e-06	1.91173202279899e-05	1.01213779626221e-06	3.89150927714245e-07	1.40807819068474e-06
ABCD3	1	2.89610453304367e-05	7.07777773628473e-06	1.90184158159884e-05	1.88395099707117e-06	9.60562702421668e-07	1.25415871234344e-06
ABCD4	14	3.16920521013495e-05	9.54655355787757e-06	2.02209186539579e-05	8.44022777819575e-07	1.05565100882731e-06	1.15344596725231e-06
ABCE1	4	2.33594347236755e-05	5.68256404794779e-06	1.55295840287687e-05	1.41740508138414e-06	7.09556286320683e-07	1.14014428394392e-06
ABCF1	6	4.02694603650888e-05	1.07544027062249e-05	2.66053494474064e-05	1.81154551605508e-06	1.07919272393276e-06	1.60760344037803e-06
ABCF2	7	2.81634006213587e-05	7.47224001514815e-06	1.87153881165818e-05	1.2508963143115e-06	7.05891652695001e-07	1.18575005530501e-06
ABCF3	3	3.99474870237727e-05	1.14483814826103e-05	2.65279075309066e-05	1.06130747159577e-06	8.90663131722178e-07	1.3491707360145e-06
ABCG1	21	3.89411555434647e-05	1.28095538275688e-05	2.48411778875981e-05	6.38021606700386e-07	6.37641696751861e-07	1.27126087661451e-06
ABCG2	4	2.65414182153765e-05	7.26341933382881e-06	1.72505369938471e-05	1.16609434146795e-06	8.48314701078417e-07	1.24655775043957e-06
ABCG4	11	3.43849551993565e-05	1.07285956117949e-05	2.23592188239699e-05	6.80700839570549e-07	5.89306708977395e-07	1.22945558620019e-06
ABCG5	2	3.05942199351287e-05	8.98404754697467e-06	2.0160909598846e-05	9.47948805636494e-07	4.80004406653509e-07	1.23895678855731e-06
ABCG8	2	3.35286774519889e-05	1.05569779925464e-05	2.14926953134171e-05	9.42937341275616e-07	5.13717235285832e-07	1.28076207895873e-06
ABHD1	2	1.84683831329194e-05	5.15052371189986e-06	1.22708932499394e-05	6.67455289270127e-07	3.5873867086024e-07	7.71497632146844e-07
ABHD10	3	1.41160218309196e-05	3.77982933640568e-06	9.37704960800584e-06	7.61509649593218e-07	1.77371549183998e-07	5.83373825293314e-07
ABHD11	7	2.0083010169711e-05	6.09434685820052e-06	1.30611436042997e-05	6.91108641763889e-07	2.2312224891381e-07	6.00475989551043e-07
ABHD12	20	1.75533909473126e-05	5.14066735948537e-06	1.11027545582365e-05	7.77396857510404e-07	5.14511482570079e-07	7.58195948834747e-07
ABHD12B	14	9.9175246402688e-06	2.49217389084882e-06	6.74425786695327e-06	2.40351619688036e-07	4.15671242807506e-07	6.89787291798035e-07
ABHD13	13	1.22579716508646e-05	2.84242759289585e-06	8.77414905410766e-06	5.91191498261923e-07	3.03421066941464e-08	6.42281279963933e-07
ABHD14A	3	1.00741988598286e-05	2.93633195117357e-06	6.66264099554969e-06	3.50893333092409e-07	1.0780370532292e-07	5.16865408720584e-07
ABHD14B	3	9.47047526470744e-06	2.85599843069867e-06	6.24301930885086e-06	2.63579750364314e-07	8.90861583933552e-08	4.00950739859107e-07
ABHD15	17	2.79589193365023e-05	8.87661455198373e-06	1.81985442637123e-05	8.19261894199863e-07	4.5726715921898e-08	8.91212781946545e-07
ABHD16A	6	2.44203868201676e-05	6.09306178992001e-06	1.64036235998619e-05	1.04436878777806e-06	8.60019975944084e-07	9.99526488923953e-07
ABHD16B	20	2.1788725372502e-05	7.88428131640433e-06	1.35600839649516e-05	3.44360091125486e-07	NA	8.93113022418475e-07
ABHD17A	19	2.8150956307982e-05	1.02196390282659e-05	1.72997933494993e-05	4.3485221324235e-07	1.77317238494928e-07	6.8788705131359e-07
ABHD17B	9	1.1579887231796e-05	2.9452948031462e-06	7.95169242041531e-06	5.82592586858752e-07	8.56207944939856e-08	5.49169496775295e-07
ABHD17C	15	1.38954280294327e-05	4.83574844261351e-06	8.71302541102144e-06	3.2879121875324e-07	NA	6.27079356177469e-07
ABHD2	15	2.18584183378407e-05	6.66627105845298e-06	1.42241960770438e-05	5.93069689779236e-07	3.55925338637435e-07	8.09502441601908e-07
ABHD3	18	1.75417785011509e-05	4.96707358106909e-06	1.15542695860149e-05	6.81252016022407e-07	3.25494044629755e-07	7.79098594035359e-07
ABHD4	14	1.74689075067808e-05	4.58822102360432e-06	1.1674700740773e-05	9.44513198494022e-07	2.44804269856944e-07	6.51782482322586e-07
ABHD5	3	1.40592502507245e-05	3.69194273976443e-06	9.02802096683388e-06	1.05797415487397e-06	2.63472395275682e-07	6.65084165639112e-07
ABHD6	3	1.49777139416974e-05	4.24835618933095e-06	9.95489580951228e-06	4.40561502051037e-07	3.15931029695278e-07	6.42281279963933e-07
ABHD8	19	3.14015176149031e-05	1.08205454189189e-05	1.96718410485609e-05	7.54913669338509e-07	1.34564622438695e-07	8.36105808239898e-07
ABI1	10	2.00257605486942e-05	5.21232787267332e-06	1.34104762482377e-05	8.98065916689661e-07	4.91869207927797e-07	9.67222400894428e-07
ABI2	2	2.0648236091584e-05	5.23300341119815e-06	1.41349404870309e-05	8.62020502121935e-07	4.03612083972646e-07	9.0451446526874e-07
ABI3	17	1.58543717155695e-05	5.02448273243078e-06	1.01854205429854e-05	3.89362064836165e-07	2.36227574087969e-07	6.97388253681529e-07
ABI3BP	3	3.80246002402728e-05	9.90664377320017e-06	2.6301216450394e-05	1.79478696416609e-06	NA	2.04465874922151e-06
ABL1	9	6.2375837584628e-05	1.98787216877e-05	4.0268096594535e-05	1.76088754612395e-06	4.47636894291898e-07	2.18527654422601e-06
ABL2	1	4.71174273789541e-05	1.29514287536869e-05	3.1333456015627e-05	2.34564000922955e-06	4.66479973272937e-07	2.24798447987234e-06
ABLIM1	10	3.75002333906605e-05	1.01041957689238e-05	2.50436793498332e-05	1.40986321942552e-06	9.29220045349175e-07	1.41947963350445e-06
ABLIM2	4	3.26506625273865e-05	1.03805508759449e-05	2.09116346232733e-05	1.33753770562747e-06	NA	1.22755534570888e-06
ABLIM3	5	3.49694068925051e-05	9.20265707412554e-06	2.31762973028174e-05	1.3460603359321e-06	1.22509877839889e-06	1.29976448370663e-06
ABR	17	4.38011813971099e-05	1.43288882368818e-05	2.73915591174901e-05	1.02694131496989e-06	1.05379272811393e-06	1.54679574523308e-06
ABRA	8	1.77838966461867e-05	4.79657796583273e-06	1.21419639044197e-05	7.85490008467042e-07	4.10481202887592e-08	7.25891860780864e-07
ABRACL	6	3.46701106217614e-06	8.89370062622705e-07	2.34553614588553e-06	1.78754042932669e-07	4.03389163254602e-08	1.55819718805643e-07
ABT1	6	1.90085135147735e-05	4.81230116680475e-06	1.37943392931486e-05	2.91439869334296e-07	9.24145752655404e-08	5.18765649197934e-07
ABTB1	3	2.12150587701085e-05	6.68313847557428e-06	1.35693189278655e-05	6.33305106371381e-07	3.13420497490901e-07	6.40381039485236e-07
ABTB2	11	4.88226968082833e-05	1.57625010332631e-05	3.10994296666024e-05	1.26188626982186e-06	6.81812963557362e-07	1.94964672557933e-06
ACAA1	3	1.80392942434879e-05	5.39202103212191e-06	1.15532538673647e-05	6.03872391957512e-07	4.72135715206271e-07	8.07602201133141e-07
ACAA2	18	1.41005463369965e-05	3.74496673143634e-06	9.48317626825614e-06	5.2643100130223e-07	3.28108793909385e-07	7.56295708349392e-07
ACACA	17	9.93626370978847e-05	2.42057300606466e-05	6.81939067711007e-05	4.35784428724341e-06	2.58481933221991e-06	4.45986439074585e-06
ACACB	12	0.000135760307600962	4.1253445914661e-05	8.82127188541029e-05	3.76370064109371e-06	2.50968829569796e-06	4.67269132374985e-06
ACAD10	12	5.01447859389447e-05	1.39818925413415e-05	3.30520622155954e-05	2.11207635870383e-06	9.78426690256141e-07	2.07316235633001e-06
ACAD11	3	3.21784212437865e-05	8.17653257236799e-06	2.16555781354585e-05	1.48871979108099e-06	8.38075891715688e-07	1.48408780962202e-06
ACAD8	11	1.97235786980898e-05	5.62579290480175e-06	1.26076653425449e-05	7.87079846279761e-07	6.80961716107584e-07	7.90500036880348e-07
ACAD9	3	3.2701335716877e-05	9.42949103550747e-06	2.1617343683215e-05	8.75257657536311e-07	7.61232104173487e-07	1.18194957436289e-06
ACADL	2	1.5185635153146e-05	3.82651288556538e-06	1.01551630197539e-05	7.75235134986756e-07	4.06767302046155e-07	8.19003643971876e-07
ACADM	1	1.60022864617706e-05	3.75954498974073e-06	1.09598552903137e-05	8.08707742873519e-07	4.61120210130424e-07	8.09502441601908e-07
ACADS	12	2.52213798211474e-05	8.25308276635604e-06	1.60192138703783e-05	4.16616936302228e-07	5.15005752581471e-07	7.84799315461154e-07
ACADSB	10	1.56533263438545e-05	4.49806242193266e-06	1.01330602650801e-05	5.82424392257063e-07	4.18949790130074e-07	8.22804124913392e-07
ACADVL	17	3.14190072631774e-05	9.09754458767885e-06	2.07244889172847e-05	7.68554708772667e-07	8.10565995106011e-07	1.24655775043957e-06
ACAN	15	0.000107618296780699	3.3673500168379e-05	7.14459099158586e-05	2.48173379543352e-06	NA	4.8095086378298e-06
ACAP1	17	3.84774215413669e-05	1.05499512680228e-05	2.55754369416883e-05	1.47188857344744e-06	8.5952186238643e-07	1.40807819068474e-06
ACAP2	3	3.02312384007075e-05	7.74085513165179e-06	1.97497239976297e-05	1.77995089980506e-06	9.42781322169491e-07	1.48028732865754e-06
ACAP3	1	3.40413586571525e-05	1.06988714185149e-05	2.18791987263764e-05	7.50094883240079e-07	7.1319362919233e-07	1.58670079515544e-06
ACAT1	11	1.44324615123196e-05	3.75733241002269e-06	9.7545027767198e-06	4.34145337348044e-07	4.64514909264061e-07	8.13302922547548e-07
ACAT2	6	1.48649611413943e-05	3.74808421382212e-06	1.03431712083674e-05	3.93618472671164e-07	3.55078224035515e-07	7.56295708349392e-07
ACBD3	1	1.80820497727332e-05	4.46745970053936e-06	1.21329532672362e-05	1.1810866523883e-06	2.80691113869498e-07	1.00522721034032e-06
ACBD4	17	1.61513809091231e-05	4.814433636096e-06	1.02773138040001e-05	7.18509205991946e-07	3.41124263027941e-07	6.49882241859272e-07
ACBD5	10	2.07167130549918e-05	5.87378836986011e-06	1.35555050759226e-05	7.82658152683787e-07	4.8669017515261e-07	9.99526488923953e-07
ACBD6	1	1.15641460934398e-05	3.52777804373589e-06	7.24481713593089e-06	4.6806965744899e-07	3.10472307191093e-07	5.37768053926083e-07
ACBD7	10	3.8845301315891e-06	1.27102058157338e-06	2.34066758941933e-06	1.19306658355781e-07	1.33133833746307e-07	1.69121402117854e-07
ACCS	11	2.215383073766e-05	5.76350275603287e-06	1.52389767603228e-05	5.48591043797768e-07	5.84534984647011e-07	9.53920717563393e-07
ACCSL	11	2.36200292244971e-05	5.97925325481675e-06	1.63174409152775e-05	7.17922705457269e-07	5.85040983877115e-07	1.08123682926993e-06
ACD	16	3.29801003995576e-05	1.03257706109504e-05	2.12299952242409e-05	9.10820641444837e-07	4.94577860679973e-07	1.03563105793242e-06
ACE	17	6.54014623499759e-05	2.07125150961716e-05	4.14095522469467e-05	2.10600496902898e-06	1.17339003709232e-06	2.48361429854223e-06
ACE2	X	2.92193803188423e-05	7.61384879535183e-06	1.93610144356017e-05	1.35462332026402e-06	8.69582060370934e-07	1.53159382142623e-06
ACER1	19	1.33678982593084e-05	3.83401589476436e-06	8.970800352162e-06	3.21071819945922e-07	2.23950595860415e-07	5.03563725416492e-07
ACER2	9	1.26626506335442e-05	3.8003506575895e-06	8.16036363318472e-06	4.57295340463254e-07	2.22282441120339e-07	5.24466370612304e-07
ACER3	11	8.53840137409992e-06	2.07078727778523e-06	5.57521025216814e-06	4.50268248891458e-07	4.22038962608753e-07	5.09264446833978e-07
ACHE	7	3.75105149412144e-05	1.1873763198764e-05	2.42431134718129e-05	1.25553791322563e-06	1.29384908345154e-07	1.17434861247529e-06
ACIN1	14	6.35162937488892e-05	1.49226818100552e-05	4.46200375028863e-05	3.16723238372646e-06	7.86984617613016e-07	2.55012271509184e-06
ACKR2	3	1.72630715661873e-05	5.13167646423623e-06	1.17151444901641e-05	3.75498234431222e-07	2.27620067308817e-08	7.31592582206013e-07
ACKR3	2	2.07435665095426e-05	6.94797476255003e-06	1.33518712765067e-05	3.95168201474859e-07	1.99474787204883e-08	6.89787291798035e-07
ACLY	17	5.69405199655864e-05	1.6936062559938e-05	3.6794463604103e-05	1.75190876307504e-06	1.44277557698884e-06	2.09406500154832e-06
ACMSD	2	1.4951595299623e-05	4.39705198043572e-06	9.54914225019148e-06	5.74396714203584e-07	4.03103444356266e-07	6.40381039485236e-07
ACN9	7	7.32131730750758e-06	2.19513254452574e-06	4.80102541872632e-06	2.62684983466787e-07	4.27774030471186e-08	2.39430299631576e-07
ACO1	9	3.90459163495765e-05	1.05825992105054e-05	2.57715043195157e-05	1.57876704610694e-06	1.09268972950222e-06	1.69121402117854e-06
ACO2	22	4.08222927883374e-05	1.2496844018628e-05	2.65659132249716e-05	9.75259379936382e-07	7.65305437049815e-07	1.48408780962202e-06
ACOT1	14	2.46559556695246e-05	8.03653731907306e-06	1.61455506514747e-05	3.98420344962802e-07	6.0776755872076e-08	8.01901479710863e-07
ACOT11	1	3.57502085297974e-05	1.02142506798926e-05	2.37262897502363e-05	1.01500299771815e-06	7.73756574602372e-07	1.13064308159099e-06
ACOT12	5	2.34943015249136e-05	6.28430236284661e-06	1.55332998509625e-05	9.48604317110178e-07	7.15047074087733e-07	1.05653370312523e-06
ACOT13	6	4.92673307848157e-06	1.48486146167954e-06	3.16173008769835e-06	8.12445975732403e-08	1.80896512059944e-07	2.24228375846187e-07
ACOT2	14	3.00206937361565e-05	9.71303651663118e-06	1.94756843979335e-05	7.30614326212762e-07	8.6688153608698e-08	9.19716389046469e-07
ACOT4	14	1.86877566163462e-05	5.82724899982764e-06	1.22666748615775e-05	5.15336335564561e-07	6.38708484817932e-08	8.01901479710863e-07
ACOT6	14	6.86927479261036e-06	1.90983567897872e-06	4.68804392860811e-06	2.05123707685439e-07	4.57854585409649e-08	3.95250018434696e-07
ACOT7	1	2.47616797208854e-05	8.26276752906983e-06	1.57055039253224e-05	4.14076115690055e-07	3.59243624635346e-07	7.04989215569715e-07
ACOT8	20	1.81083070343271e-05	5.48148010981947e-06	1.15222761320776e-05	8.59456749277483e-07	2.25705218199532e-07	6.08076951441992e-07
ACOT9	X	1.8021946338252e-05	4.81775704512915e-06	1.17828159726418e-05	7.60408401735542e-07	6.47714812145655e-07	8.53207972485331e-07
ACOX1	17	2.74792495671837e-05	7.47461426981134e-06	1.83579305190496e-05	9.72127544095104e-07	6.56705742106259e-07	1.18384981484063e-06
ACOX2	3	3.35048238511121e-05	9.61531210921902e-06	2.23427621896189e-05	9.3749134846552e-07	5.84332619781273e-07	1.29596400277097e-06
ACOX3	4	3.59949834601566e-05	1.14170665599538e-05	2.28726775412153e-05	1.00683200851707e-06	6.77996075028291e-07	1.33206857176257e-06
ACOXL	2	2.31186176054211e-05	6.53276541945056e-06	1.52135755639428e-05	7.10483388264933e-07	6.61793233872074e-07	1.10403971496079e-06
ACP1	2	6.69565056713872e-06	1.94689287919683e-06	4.26466529963992e-06	2.4691768532671e-07	2.19163466244713e-07	3.0213823524736e-07
ACP2	11	2.4491081939378e-05	7.02885490790956e-06	1.63943683336196e-05	5.96900113799109e-07	4.50195076764065e-07	8.05701960655396e-07
ACP5	19	1.7638310227654e-05	5.41436074539426e-06	1.15203699122634e-05	5.47164118912668e-07	1.3852432662955e-07	6.19478394284335e-07
ACP6	1	1.58428797753224e-05	4.79205366000351e-06	1.01628538607606e-05	4.93262566185199e-07	3.79396409995932e-07	8.15203163017876e-07
ACPL2	3	2.24941710869575e-05	6.41000827910865e-06	1.5292120030746e-05	5.98039285062946e-07	1.80394785458043e-07	9.14015667627981e-07
ACPP	3	1.54218409427305e-05	4.29956318089995e-06	9.9982418623706e-06	7.03780611523153e-07	4.00551208609689e-07	7.35393063151842e-07
ACPT	19	1.95749418616436e-05	6.19914486998737e-06	1.26768883425698e-05	3.64488603383168e-07	3.3442004562384e-07	8.11402682070846e-07
ACR	22	2.20813629629055e-05	6.74363055881487e-06	1.4252297912127e-05	8.87064423944581e-07	1.7684916775362e-07	8.01901479710863e-07
ACRBP	12	2.50673489595794e-05	6.96476610509382e-06	1.65042549608441e-05	1.18940566822625e-06	3.83808033704776e-07	1.03373081745549e-06
ACRC	X	3.68545734239079e-05	1.29223802583769e-05	2.26598707205107e-05	7.66007411770705e-07	4.84650265000501e-07	1.31496640750284e-06
ACRV1	11	9.88627610914516e-06	2.79271846430923e-06	6.50984101504583e-06	4.25920007537221e-07	1.36875691579368e-07	5.05463965884804e-07
ACSBG1	15	3.95027516894823e-05	1.21499732933485e-05	2.57796000674502e-05	9.74548529717798e-07	5.83983598439882e-07	1.37767434310731e-06
ACSBG2	19	2.76651635948756e-05	8.1521186944341e-06	1.78807352749305e-05	9.49078342294633e-07	6.62362339351555e-07	1.2674603956717e-06
ACSF2	17	2.92808715320621e-05	8.51202098726309e-06	1.90099329567155e-05	1.08875502941934e-06	6.51367657491284e-07	1.17054813151365e-06
ACSF3	16	3.38966951467512e-05	1.11815229173104e-05	2.14452742501449e-05	8.85080403168429e-07	3.56968597754439e-07	1.09643875305413e-06
ACSL1	4	3.4092661267693e-05	1.02062688041322e-05	2.14832739950437e-05	1.53764340646696e-06	8.45709804126084e-07	1.32826809078844e-06
ACSL3	2	2.90478214380345e-05	7.51873064018498e-06	1.95454814212699e-05	1.25776753526308e-06	7.06006918073547e-07	1.37007338121924e-06
ACSL4	X	2.55522412235318e-05	6.55032974667169e-06	1.70714740792406e-05	1.20712344116026e-06	7.03510225963463e-07	1.35297121696793e-06
ACSL5	10	2.77688990868534e-05	7.93611563865542e-06	1.81226825195436e-05	8.42513611569002e-07	8.48854093889709e-07	1.29976448370663e-06
ACSL6	5	3.34150013164806e-05	9.21077722274187e-06	2.21138849919562e-05	1.17091089896601e-06	9.00642457464667e-07	1.37387386214962e-06
ACSM1	16	2.5389627966173e-05	6.9057360575914e-06	1.67238107918722e-05	1.2080609587905e-06	5.37381095234974e-07	1.09833899354052e-06
ACSM2A	16	2.46464897959985e-05	6.43401830870047e-06	1.61677323070203e-05	1.48111216159671e-06	5.44672377834655e-07	1.09833899354052e-06
ACSM2B	16	2.44663964674101e-05	6.37975670214781e-06	1.60381205048546e-05	1.48418666535342e-06	5.45376839829042e-07	1.09833899354052e-06
ACSM3	16	2.23948598037553e-05	5.83305153851969e-06	1.47922028031686e-05	1.2323464856192e-06	5.24193444717107e-07	1.11544115780729e-06
ACSM4	12	2.40814063344935e-05	6.46614095921618e-06	1.6513811644024e-05	1.07630217447402e-06	NA	1.10403971496079e-06
