gene	gene_id	R2	p_value_adj
MSL3	ENSG00000005302	0.635542266834848	2.62445195511438e-12
BZRAP1	ENSG00000005379	0.638716500002187	2.43390811431375e-13
GCFC2	ENSG00000005436	0.566568061009084	1.50784153542061e-10
WDR54	ENSG00000005448	0.576281569368966	1.76520604445045e-09
CROT	ENSG00000005469	0.818560834130542	1.46302750755883e-33
ABCB4	ENSG00000005471	0.915727591742064	1.40830084529469e-65
RHBDD2	ENSG00000005486	0.482965278960436	7.5670953037895e-08
SOX8	ENSG00000005513	0.680518788872873	1.46978188822814e-15
IBTK	ENSG00000005700	0.60003647798208	4.30674311200768e-10
FBXL3	ENSG00000005812	0.81396891240255	3.6407081833436e-32
ITGAL	ENSG00000005844	0.553713387456659	4.28195758528593e-09
ITGA3	ENSG00000005884	0.716849951729804	3.42959839281575e-12
LAMP2	ENSG00000005893	0.582136347382102	3.61221593755225e-10
C19orf60	ENSG00000006015	0.60302496343289	3.4210588518138e-13
CRLF1	ENSG00000006016	0.349180541679982	5.62956927971938e-05
OSBPL7	ENSG00000006025	0.659215155531635	1.26865788184422e-15
TMEM98	ENSG00000006042	0.777058166606462	1.69307332114061e-25
YBX2	ENSG00000006047	0.728547001276809	1.83091347721191e-17
SYNRG	ENSG00000006114	0.618693963497162	9.69278559552687e-12
TMEM132A	ENSG00000006118	0.841518529283531	5.47211510871493e-45
TAC1	ENSG00000006128	0.605515640652836	9.76731402315875e-16
ZNF263	ENSG00000006194	0.702408038324422	1.60883921408605e-18
SPATA20	ENSG00000006282	0.791320867273614	3.2577173221757e-25
CACNA1G	ENSG00000006283	0.653482194101366	3.99415682331314e-15
TNFRSF12A	ENSG00000006327	0.941665444212781	3.37731231920975e-101
MAP3K9	ENSG00000006432	0.608737683557441	1.37807584539288e-10
RALA	ENSG00000006451	0.580261334655755	7.06132225228428e-12
BAIAP2L1	ENSG00000006453	0.81452922151131	2.06018048538426e-24
ETV1	ENSG00000006468	0.596477139077354	3.23489435337961e-10
ALDH3B1	ENSG00000006534	0.814892315775296	8.48931349142622e-33
TTC22	ENSG00000006555	0.756827689604558	4.75303925314423e-36
PHTF2	ENSG00000006576	0.699318472501259	2.25440725324868e-17
CCL26	ENSG00000006606	0.211615720236945	5.79667162189038e-13
FARP2	ENSG00000006607	0.608346986017637	2.57839007350635e-11
USH1C	ENSG00000006611	0.505282533882971	3.56219117423686e-06
PAF1	ENSG00000006712	0.529597301944374	1.59920874412538e-08
VPS41	ENSG00000006715	0.606717099019848	7.38417512379828e-11
ARHGAP44	ENSG00000006740	0.761090582153014	3.38577620760289e-22
ELAC2	ENSG00000006744	0.580449204608149	8.11279645740306e-13
SCIN	ENSG00000006747	0.934936237714405	5.46139395519893e-152
MYH13	ENSG00000006788	0.265019383206221	3.09242395563238e-14
UPP2	ENSG00000007001	0.453257396400046	2.5321974529042e-10
MARK4	ENSG00000007047	0.588760497100103	1.14585864326101e-09
PROM1	ENSG00000007062	0.750977231821831	4.165777292664e-23
CCDC124	ENSG00000007080	0.763879348462853	4.72518277958414e-29
CEACAM21	ENSG00000007129	0.579296790700768	8.40640979982384e-39
PAFAH1B1	ENSG00000007168	0.433113653305656	3.55061897712783e-07
DNAH9	ENSG00000007174	0.774390457048714	1.13421433054309e-81
SLC13A2	ENSG00000007216	0.602015397805428	5.84158895205544e-12
TRAPPC6A	ENSG00000007255	0.669158747125489	1.11567859491179e-14
MATK	ENSG00000007264	0.257154296488672	4.24469608548595e-09
ST7L	ENSG00000007341	0.666398346962952	8.83792781241107e-14
TKTL1	ENSG00000007350	0.737448164579009	2.36820593231303e-48
PAX6	ENSG00000007372	0.149118087558829	2.17312618866357e-08
RPUSD1	ENSG00000007376	0.675594412919658	5.6112509979036e-19
RHBDF1	ENSG00000007384	0.691959152617262	1.64777917971422e-17
TSR3	ENSG00000007520	0.766048648314087	1.79836225436362e-23
PIGQ	ENSG00000007541	0.76532363477051	9.21582914643022e-26
TEAD3	ENSG00000007866	0.68562396211809	2.30372819436098e-15
DNAJC11	ENSG00000007923	0.794332418917636	2.21928758285207e-27
FMO3	ENSG00000007933	0.290497358250831	2.51202010105906e-10
NOX1	ENSG00000007952	0.167627949378454	2.47417696857418e-14
E2F2	ENSG00000007968	0.384024944621844	8.98831877077592e-06
SYN1	ENSG00000008056	0.771298972619015	4.46956705318601e-22
JARID2	ENSG00000008083	0.472246306836144	5.18378871272208e-08
CDK11A	ENSG00000008128	0.422027212716999	4.25111295324159e-08
NADK	ENSG00000008130	0.671090903365286	3.96301180976293e-17
TFAP2B	ENSG00000008196	0.826683586535832	1.86780248287231e-41
ADAM22	ENSG00000008277	0.801364814169637	2.54886981143023e-26
SYPL1	ENSG00000008282	0.696187876787021	1.23083390302283e-19
CYB561	ENSG00000008283	0.588557908576717	5.42382790887833e-08
CELSR3	ENSG00000008300	0.635764088591802	4.14030641660182e-09
PLEKHG6	ENSG00000008323	0.749574489242033	1.45483443925909e-38
MPND	ENSG00000008382	0.799291648050049	1.11726951763568e-33
MGST1	ENSG00000008394	0.740080998126416	5.71983691330597e-18
NFIX	ENSG00000008441	0.599287339869648	5.22691016233574e-12
MMP25	ENSG00000008516	0.582546335314743	2.42431031337831e-24
IL32	ENSG00000008517	0.895399868583367	2.5494171959648e-54
PKD1	ENSG00000008710	0.790025930691079	1.42241261250444e-28
MAPK8IP2	ENSG00000008735	0.748433505237505	5.56264620302303e-19
MED24	ENSG00000008838	0.796780325016463	2.11957528249738e-29
RHOBTB2	ENSG00000008853	0.70485009523133	2.43254767477382e-14
SEC62	ENSG00000008952	0.871525709094242	9.25875182915775e-43
TENM1	ENSG00000009694	0.730130870688742	4.41018796438609e-21
IYD	ENSG00000009765	0.705669302775389	1.12124281633812e-24
FAM76A	ENSG00000009780	0.632635375290863	1.97240495102128e-13
POMT2	ENSG00000009830	0.684545511702345	5.82986149918544e-16
VTA1	ENSG00000009844	0.642429496450095	3.50735779711189e-13
RANBP9	ENSG00000010017	0.75303575988619	1.54507108623436e-19
METTL13	ENSG00000010165	0.549127277442768	1.0590971047802e-08
ZNF207	ENSG00000010244	0.60085253928025	5.28378685423648e-11
UQCRC1	ENSG00000010256	0.894642269814197	1.50076246835726e-64
STARD3NL	ENSG00000010270	0.36995940827476	1.47831793997471e-05
CD9	ENSG00000010278	0.737372148686953	5.40176342813177e-19
HHATL	ENSG00000010282	0.863630332662389	4.20423980391371e-37
IFFO1	ENSG00000010295	0.675899812412973	8.95339870269683e-17
GIPR	ENSG00000010310	0.784792628858126	5.00071164238776e-22
PHF7	ENSG00000010318	0.68657288413843	4.18739259670158e-18
SEMA3G	ENSG00000010319	0.811342324507283	1.32202995952324e-24
NISCH	ENSG00000010322	0.802439079430333	4.56466740211884e-32
STAB1	ENSG00000010327	0.607728275344072	3.84713768654057e-15
FUZ	ENSG00000010361	0.751567349237892	9.0944962971815e-21
SLC6A13	ENSG00000010379	0.733996462593788	4.17595726799708e-18
IDS	ENSG00000010404	0.797483628943096	2.33530257480228e-27
CD4	ENSG00000010610	0.809668948561164	4.11365815005012e-25
HFE	ENSG00000010704	0.634797489133707	6.45548826161236e-11
SCMH1	ENSG00000010803	0.816114963439276	6.16482957825032e-32
FMO1	ENSG00000010932	0.853524099606958	1.66379133418551e-52
LYPLA2	ENSG00000011009	0.774005665436526	2.20046437940853e-23
TSPAN9	ENSG00000011105	0.739207419235961	2.42285854740453e-17
BTBD7	ENSG00000011114	0.618643264696154	5.02606183898023e-11
APBA3	ENSG00000011132	0.710541330866811	1.32117617699188e-19
MKS1	ENSG00000011143	0.766042457302824	2.72796920121812e-21
AKAP8L	ENSG00000011243	0.66868719846887	3.90705528857932e-15
MBTD1	ENSG00000011258	0.780003262796974	1.08162358375437e-25
UTP18	ENSG00000011260	0.818150265126306	8.32416786797005e-28
PTBP1	ENSG00000011304	0.833136420795354	2.61988289277883e-31
DPF1	ENSG00000011332	0.743706600421336	1.88746932537128e-22
SYT7	ENSG00000011347	0.616212904963036	1.11482588465305e-10
PIK3C2A	ENSG00000011405	0.625879874376995	1.11701510301528e-11
PLAUR	ENSG00000011422	0.461144665193513	3.90519306137754e-08
ANLN	ENSG00000011426	0.754231803287052	3.82102993550874e-22
WIZ	ENSG00000011451	0.800321601515314	2.82848640356988e-31
DCN	ENSG00000011465	0.826327595873177	3.27767789759085e-25
QPCTL	ENSG00000011478	0.557352521727081	7.37401175210001e-11
PPP5C	ENSG00000011485	0.833151841677867	7.50919245765345e-33
MAP4K3	ENSG00000011566	0.674161726003231	1.0767979347246e-15
TMEM159	ENSG00000011638	0.904325947125156	1.70348474371544e-66
GABRA3	ENSG00000011677	0.799307928006471	1.47889653928873e-55
ERCC1	ENSG00000012061	0.786298588306639	7.66432109174087e-25
CD22	ENSG00000012124	0.838056980557638	1.42933582935382e-29
PRICKLE3	ENSG00000012211	0.574862677152625	1.10797612756687e-08
LTF	ENSG00000012223	0.287803966526777	8.86744272719876e-10
NR1H4	ENSG00000012504	0.787055762456504	3.0368028029374e-20
ELOVL5	ENSG00000012660	0.703475476677979	8.25060525598462e-16
UBR7	ENSG00000012963	0.561059181132465	1.28673248816926e-10
MAP4K5	ENSG00000012983	0.592779259260798	4.80801749905904e-12
EHD3	ENSG00000013016	0.721610929546391	7.57965385781881e-13
PSMC4	ENSG00000013275	0.519845147682823	3.79917603316929e-10
SLC7A14	ENSG00000013293	0.659476725638018	2.07988422200939e-17
CLDN11	ENSG00000013297	0.961849111932594	5.10485315841335e-134
SLC25A39	ENSG00000013306	0.764529470189402	1.62840728114357e-21
MVP	ENSG00000013364	0.596998950989362	6.03583284592326e-09
PGM3	ENSG00000013375	0.732071576681625	1.13899878081151e-16
RWDD2A	ENSG00000013392	0.768364893415609	9.82462075618986e-21
ANGEL1	ENSG00000013523	0.606202468546293	1.0963138123292e-09
RNF14	ENSG00000013561	0.656255930515992	5.4047072114763e-14
DNASE1L1	ENSG00000013563	0.794147625171458	4.96516955377891e-27
DDX11	ENSG00000013573	0.407146879206707	4.12802944088543e-07
HEBP1	ENSG00000013583	0.731288873032814	2.19340107966566e-20
MAMLD1	ENSG00000013619	0.722247118572623	4.66556119057056e-15
CD6	ENSG00000013725	0.35273453867544	3.11949313546947e-15
TACC3	ENSG00000013810	0.773588108587014	3.00819358715557e-25
UFL1	ENSG00000014123	0.651156229932163	1.68034335468504e-14
ZC3H3	ENSG00000014164	0.790651248555576	3.65101983302062e-30
CAPN1	ENSG00000014216	0.766917139892532	1.54211386885333e-19
ACPP	ENSG00000014257	0.899204599087346	2.27773953769959e-77
MDH1	ENSG00000014641	0.945618296695787	2.22702828200503e-133
SLC30A9	ENSG00000014824	0.58440553505344	5.2873552631651e-11
COX15	ENSG00000014919	0.364196888282041	7.22591996247988e-05
CCDC88C	ENSG00000015133	0.891797991492541	1.47126400255623e-51
ZMYND11	ENSG00000015171	0.696274486805768	1.85803777333013e-15
WAS	ENSG00000015285	0.586720677238601	5.17779526362257e-14
DPEP1	ENSG00000015413	0.814078117233993	6.28154145075744e-24
MATR3	ENSG00000015479	0.624704343840946	2.23756572238399e-11
NPC1L1	ENSG00000015520	0.637243559197127	1.43382807902203e-10
XYLT2	ENSG00000015532	0.819134344516523	2.63968840592214e-30
ISL1	ENSG00000016082	0.597116752050877	1.63358653848993e-09
IL20RA	ENSG00000016402	0.401793582668003	1.76107306056613e-09
GLT8D1	ENSG00000016864	0.831701118060221	1.1629471291258e-32
ATP2C1	ENSG00000017260	0.747830003754079	5.37859896102398e-18
SRCIN1	ENSG00000017373	0.696361311922623	2.79796026778984e-17
SLC38A5	ENSG00000017483	0.681136362126775	1.96445373450772e-16
MAGIX	ENSG00000017621	0.478582136144284	3.61405192345326e-08
RUFY3	ENSG00000018189	0.706336171759468	2.10056870904058e-16
CNTN1	ENSG00000018236	0.635846749042338	1.25082878405586e-13
WWTR1	ENSG00000018408	0.505723146113545	1.7368204927122e-08
ATP1A2	ENSG00000018625	0.645894671927354	1.03484010218441e-11
ZNF582	ENSG00000018869	0.579311533339627	4.97158653985234e-11
VSIG2	ENSG00000019102	0.374120153541425	2.91276900733881e-05
PHLDB1	ENSG00000019144	0.771615535199706	1.19428454944029e-23
MARCO	ENSG00000019169	0.312196662378292	1.63556538795291e-06
CYP24A1	ENSG00000019186	0.369515830432796	7.8282753906771e-14
SNAI2	ENSG00000019549	0.752178701058926	1.04124204421741e-19
CD74	ENSG00000019582	0.732552698007572	5.03743064687656e-15
HGF	ENSG00000019991	0.611742408650095	7.93848917535657e-10
ZRANB1	ENSG00000019995	0.457231451219903	1.47778496053146e-07
NCDN	ENSG00000020129	0.700051703377326	2.16195663310429e-19
ZFP64	ENSG00000020256	0.507484367501214	1.49280285216972e-09
SAMD4A	ENSG00000020577	0.897675935576035	2.04708842626396e-63
PLEKHB1	ENSG00000021300	0.655520294874132	1.16484694139959e-09
SERPINB1	ENSG00000021355	0.675518659173578	1.77847959461706e-14
SLC7A9	ENSG00000021488	0.467694165893	5.31697154072966e-09
SPAST	ENSG00000021574	0.807869849286179	2.57241306638438e-27
NRXN3	ENSG00000021645	0.851181306469421	7.47568449488283e-46
OSBPL5	ENSG00000021762	0.749265039494801	1.42767151797234e-22
AQR	ENSG00000021776	0.560715973077789	1.62265230747545e-08
CPS1	ENSG00000021826	0.785221652051792	3.86083330196336e-22
FHL1	ENSG00000022267	0.920830890917686	7.5457416226114e-100
GABRA1	ENSG00000022355	0.289508327844671	6.56556431641888e-10
NLRP2	ENSG00000022556	0.566422190585837	7.85185828614691e-10
SLC45A4	ENSG00000022567	0.467447930540231	2.68686268952902e-07
RNF10	ENSG00000022840	0.627163960553622	1.20320825299595e-13
ZDHHC6	ENSG00000023041	0.660050172926256	1.6581100569042e-13
RNH1	ENSG00000023191	0.80154937588957	3.25139639886422e-30
NDUFS1	ENSG00000023228	0.742477575823057	3.74789460649445e-21
ERP44	ENSG00000023318	0.686382453431265	1.33258204721988e-13
ALAS1	ENSG00000023330	0.520511328168509	5.9106761096626e-10
BIRC3	ENSG00000023445	0.49413623184852	2.45159232250868e-17
AKAP11	ENSG00000023516	0.494370669362855	2.42797793635814e-07
GLRX2	ENSG00000023572	0.488938645230876	1.7149758839712e-08
DERA	ENSG00000023697	0.476293767344681	5.89123252608616e-07
ABCC2	ENSG00000023839	0.763677743429554	2.21166630080156e-27
DEF6	ENSG00000023892	0.75990740802579	5.60647693467543e-23
PLEKHO1	ENSG00000023902	0.553266010676378	1.4298777745537e-09
GCLM	ENSG00000023909	0.667360405875703	5.72701961670279e-13
UBR2	ENSG00000024048	0.383751281735873	4.4625290446153e-06
EHD2	ENSG00000024422	0.67735152599353	7.08361672591454e-14
RRAGD	ENSG00000025039	0.818694764682709	5.09331225856536e-34
HSF2	ENSG00000025156	0.678141803160844	3.93112795201351e-11
TYMP	ENSG00000025708	0.488611949162835	8.31289013067904e-08
NCAPH2	ENSG00000025770	0.805325326254537	1.24067495006329e-28
TOMM34	ENSG00000025772	0.769854660798075	3.67322502973736e-23
SEC63	ENSG00000025796	0.656998892876705	3.09142198915813e-13
VIM	ENSG00000026025	0.858810606878984	8.84135556263904e-40
FAS	ENSG00000026103	0.406436877314998	2.74514276327273e-06
KCNG1	ENSG00000026559	0.773554826048908	8.87403818552405e-31
SLAMF7	ENSG00000026751	0.318313050057128	9.89068028786688e-25
BTN3A1	ENSG00000026950	0.741571325683143	5.48104832211403e-20
PRKCH	ENSG00000027075	0.671028131938905	6.77315889889188e-17
IFNGR1	ENSG00000027697	0.715821041887512	4.30784007681793e-17
B4GALT7	ENSG00000027847	0.670268741964503	3.18678486218504e-17
TNFRSF1B	ENSG00000028137	0.640495196825204	1.60348494563652e-13
VEZT	ENSG00000028203	0.520887826294221	2.34307124998917e-08
POU2F2	ENSG00000028277	0	NA
BRD9	ENSG00000028310	0.677189232258197	9.2458444587985e-18
TBPL1	ENSG00000028839	0.678744456208461	3.6771543109472e-15
BCLAF1	ENSG00000029363	0.660943023008264	9.74407748400074e-14
SLC39A9	ENSG00000029364	0.826634687166812	3.56965465777436e-30
ANK1	ENSG00000029534	0.734015285987389	2.23707349321382e-24
TFB1M	ENSG00000029639	0.614824427963738	2.74497989331815e-12
NUP160	ENSG00000030066	0.766105306804844	4.38665463885784e-22
BAK1	ENSG00000030110	0.714859553188068	2.70477747696925e-17
GRN	ENSG00000030582	0.602013228126027	3.31696357662202e-11
FAM13B	ENSG00000031003	0.765236612994233	2.85619921514371e-22
ARHGAP31	ENSG00000031081	0.76651452738761	1.82815158567443e-21
RANBP3	ENSG00000031823	0.823710654808446	1.60953648994688e-36
TSSC1	ENSG00000032389	0.375058886205728	7.15281511731191e-06
PNPLA6	ENSG00000032444	0.736618924880662	2.00843004876737e-21
IFT88	ENSG00000032742	0.83056219254409	3.28794888333556e-35
CHPF2	ENSG00000033100	0.568856697429251	2.03338831476617e-11
LRRC7	ENSG00000033122	0.687404286988044	7.76221146503193e-16
APBA2	ENSG00000034053	0.848476077862614	2.17568981731794e-37
MAP2K3	ENSG00000034152	0.658874290534373	5.43791682260948e-12
EFCAB1	ENSG00000034239	0.85245241807599	5.65763829888154e-96
TMSB10	ENSG00000034510	0.446907144150375	1.47136752036315e-06
ASTE1	ENSG00000034533	0.779178672989808	1.1030422686722e-22
RNF19A	ENSG00000034677	0.699923991883333	1.04762140160968e-17
PEX3	ENSG00000034693	0.55694910893173	8.83612089039228e-11
GABARAPL2	ENSG00000034713	0.835827050606116	3.90037388696272e-35
MYOC	ENSG00000034971	0.694872295010341	3.27887668950628e-40
DEPDC1B	ENSG00000035499	0.778438346092562	2.21233296167746e-24
DAPK2	ENSG00000035664	0.681076985796543	4.944267289657e-15
NSMAF	ENSG00000035681	0.777931490537436	4.25550441876753e-25
ADSS	ENSG00000035687	0.85710686299342	6.90106534518903e-45
TBC1D23	ENSG00000036054	0.715235746618465	1.17618233940138e-20
MYOM2	ENSG00000036448	0.809461549499217	3.21630709661201e-37
CYP46A1	ENSG00000036530	0.597358057745301	2.38809610815611e-11
ZZZ3	ENSG00000036549	0.718726485543259	8.93071143778642e-18
SLC18A1	ENSG00000036565	0.746509787642026	1.03974917931913e-19
USP2	ENSG00000036672	0.955353940396955	1.14529550620801e-141
CASR	ENSG00000036828	0.921873572304769	1.40058842753993e-100
FLT4	ENSG00000037280	0.667421323263932	3.5444064914494e-15
HOXC8	ENSG00000037965	0.977272396118909	0
AGA	ENSG00000038002	0.646939103389609	8.28592676599871e-12
PI4K2B	ENSG00000038210	0.571763290657704	2.07603872678373e-08
MAT2B	ENSG00000038274	0.773557974285886	8.71763538580239e-26
TLL1	ENSG00000038295	0.793892380022127	1.07527078468905e-30
EDC4	ENSG00000038358	0.70733961540456	2.79916971665075e-19
CLEC16A	ENSG00000038532	0.729305586741928	1.02779395648565e-20
MSR1	ENSG00000038945	0.492931195258751	1.72223929677839e-07
CDH1	ENSG00000039068	0.839282947066129	8.01011915234098e-36
DNAH5	ENSG00000039139	0.744717688806111	1.70473694615763e-29
FAM65A	ENSG00000039523	0.711617869022865	2.3621833746816e-12
C6	ENSG00000039537	0.848835587436476	5.81855500570298e-52
PNKP	ENSG00000039650	0.722750428083601	7.79848403954265e-20
STAU2	ENSG00000040341	0.50062179993559	6.00305996585996e-09
PQLC2	ENSG00000040487	0.610957496616719	9.81158914096372e-14
RTN4R	ENSG00000040608	0.539864468838213	3.66029056988911e-11
PHF23	ENSG00000040633	0.660536052030674	8.35638897030137e-14
CDH10	ENSG00000040731	0.779941457808134	1.24522345154689e-24
INPP4A	ENSG00000040933	0.718742807172798	2.0089538896453e-20
MYO16	ENSG00000041515	0.902228002776495	1.47125004303319e-63
PARP3	ENSG00000041880	0.672152502950607	1.1390360494775e-15
TNC	ENSG00000041982	0.715116079507546	1.29691141656929e-16
THAP3	ENSG00000041988	0.743845246016402	1.33490429464075e-22
FAM65C	ENSG00000042062	0.739159384858846	4.95115326681812e-22
TDP1	ENSG00000042088	0.871219451866855	4.13965211210535e-46
AIFM2	ENSG00000042286	0.812850535570752	2.48579098277485e-29
MED17	ENSG00000042429	0.621234736491343	2.81668377618496e-13
RETSAT	ENSG00000042445	0.465013990909463	8.61655849198773e-06
CAPG	ENSG00000042493	0.770124684331624	5.39553157480765e-21
AP2S1	ENSG00000042753	0.542935210256737	5.78754719570081e-09
USH2A	ENSG00000042781	0.656631700562946	1.28281680182311e-19
ADAM28	ENSG00000042980	0.717627443314073	4.5860832930645e-20
BARX2	ENSG00000043039	0.142949269165749	6.27806944116071e-07
DCUN1D1	ENSG00000043093	0.675165527534291	6.37994351774642e-16
LCP2	ENSG00000043462	0.375241924137336	4.94629896401943e-05
ADRB1	ENSG00000043591	0.526544658038895	2.20672284053071e-17
CUL7	ENSG00000044090	0.803594603993823	1.07344715776806e-30
EPHA3	ENSG00000044524	0.541627735364947	7.60481177734548e-10
GPM6B	ENSG00000046653	0.815288489873613	4.00503974570372e-29
PREX2	ENSG00000046889	0.595071743408347	1.1574696149294e-10
CTPS2	ENSG00000047230	0.709633291682546	7.05523790157289e-17
FAM214A	ENSG00000047346	0.661528714431997	8.72731311915024e-15
ARAP2	ENSG00000047365	0.703593769068558	1.16195882143352e-14
CP	ENSG00000047457	0.630936586129276	7.95323341228899e-13
KIAA0556	ENSG00000047578	0.565972801275618	3.14699096597185e-11
XK	ENSG00000047597	0.742515697974627	4.95819317102815e-23
ANO2	ENSG00000047617	0.513624345527864	5.39342767106999e-09
C12orf4	ENSG00000047621	0.649212356897763	1.41655533232703e-15
SCML1	ENSG00000047634	0.646754213248773	2.34580354479086e-12
WWC3	ENSG00000047644	0.60667003104927	3.07542592458516e-12
ARHGAP6	ENSG00000047648	0.60019037412988	5.63853224845059e-09
FAM184B	ENSG00000047662	0.756460253654631	1.00186198595397e-39
MAP4	ENSG00000047849	0.801389128507209	6.95611254437346e-29
GOPC	ENSG00000047932	0.62464227060531	6.91611340798791e-12
ROS1	ENSG00000047936	0.275345589911133	1.82072290314865e-07
USP28	ENSG00000048028	0.88637827200416	1.06199426436767e-60
HDAC9	ENSG00000048052	0.712814849106139	1.76441570037006e-17
TSPAN17	ENSG00000048140	0.623406860208612	2.75099417027182e-14
NOP16	ENSG00000048162	0.537035840944906	6.26777820699801e-10
CC2D2A	ENSG00000048342	0.55019979465714	3.43384964359775e-09
RRM2B	ENSG00000048392	0.578508948587275	8.80542405803751e-12
ZNF800	ENSG00000048405	0.663857619453821	1.50536999190154e-12
SNX29	ENSG00000048471	0.679072432254134	6.71325483291257e-15
LMO3	ENSG00000048540	0.642439688852877	7.74167296231871e-13
GUCA1A	ENSG00000048545	0.306717833689329	6.95912352634175e-16
CELF2	ENSG00000048740	0.904402299078835	1.38784168060177e-60
FAM120A	ENSG00000048828	0.63974144598593	5.29844879643919e-13
COL9A2	ENSG00000049089	0.572603597084971	4.5006835379707e-11
ADAMTS6	ENSG00000049192	0.785308895864857	1.69568793785618e-17
H6PD	ENSG00000049239	0.570891930492062	3.63659185467514e-09
VAMP3	ENSG00000049245	0.659444772071426	1.30160020907108e-14
PER3	ENSG00000049246	0.505050218411893	3.36908263382769e-09
EPN3	ENSG00000049283	0.914070344980317	1.77158174827624e-81
RCN1	ENSG00000049449	0.847287371700945	3.96887089625366e-36
CLPTM1L	ENSG00000049656	0.566800732811403	6.50227301347078e-10
NEDD4L	ENSG00000049759	0.531016130904632	1.74228703276563e-09
FOXP3	ENSG00000049768	0.217044234919141	9.14582279983522e-15
