SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn	p_mupit	p_dnw	p_dnm	p_adj
ASCC3	0	1	0	1	1	1	1	1
ASCL3	0	0	1	0	1	1	1	1
ASH1L	2	0	0	2	0.00225880302208916	1	0.00225880302208916	1
ASIC1	0	0	1	0	1	1	1	1
ASIC4	0	1	0	1	1	1	1	1
ASNA1	1	0	0	1	0.00671637232118575	1	0.00671637232118575	1
ASPA	0	1	0	1	1	1	1	1
ASPDH	1	0	0	1	0.0050645236254993	1	0.0050645236254993	1
ASPG	0	2	0	2	1	1	1	1
ASPHD1	0	0	1	0	1	1	1	1
ASTN2	0	1	0	1	1	1	1	1
ASUN	0	1	0	1	1	1	1	1
ASXL1	2	0	0	2	0.000496276451425884	1	0.000496276451425884	1
ASXL3	0	0	1	0	1	1	1	1
ATAD1	1	0	0	1	0.0088551354165476	1	0.0088551354165476	1
ATAD3A	0	0	1	0	1	1	1	1
ATAD3B	0	1	0	1	1	1	1	1
ATCAY	0	1	1	1	1	1	1	1
ATF6B	0	1	0	1	1	1	1	1
ATG16L1	0	1	0	1	1	1	1	1
ATG2A	0	1	0	1	1	1	1	1
ATG3	0	0	1	0	1	1	1	1
ATHL1	0	1	0	1	1	1	1	1
ATIC	0	1	0	1	1	1	1	1
ATM	0	2	0	2	1	1	1	1
ATP10B	0	1	0	1	1	1	1	1
ATP11C	0	1	0	1	1	1	1	1
ATP12A	0	1	0	1	1	1	1	1
ATP13A3	0	0	1	0	1	1	1	1
ATP13A5	1	0	0	1	0.0285904532817956	1	0.0285904532817956	1
ATP1B2	1	0	0	1	0.0085643585920964	1	0.0085643585920964	1
ATP2A1	0	0	1	0	1	1	1	1
ATP2A2	0	2	0	2	1	1	1	1
ATP2B4	0	1	0	1	1	1	1	1
ATP2C2	0	0	1	0	1	1	1	1
ATP4B	0	1	0	1	1	1	1	1
ATP5G1	0	1	0	1	1	1	1	1
ATP5J2-PTCD1	0	0	1	0	1	1	1	1
ATP6AP1L	0	1	0	1	1	1	1	1
ATP6V0C	1	0	0	1	0.00292693183083714	1	0.00292693183083714	1
ATP6V0D2	1	0	0	1	0.00904494642280913	1	0.00904494642280913	1
ATP6V1B2	0	1	0	1	1	1	1	1
ATP6V1C1	0	1	0	1	1	1	1	1
ATP6V1C2	0	1	0	1	1	1	1	1
ATP8B2	0	1	1	1	1	1	1	1
ATR	1	0	1	1	0.0618429861931417	1	0.0618429861931417	1
ATRNL1	0	1	0	1	1	1	1	1
ATRX	0	1	0	1	1	1	1	1
ATXN1	0	1	0	1	1	1	1	1
ATXN2L	0	1	0	1	1	1	1	1
AXDND1	0	1	0	1	1	1	1	1
AXIN2	0	1	0	1	1	1	1	1
AZI1	0	0	1	0	1	1	1	1
B3GALT5	0	1	0	1	1	1	1	1
B3GAT3	0	1	0	1	1	1	1	1
B3GNT7	0	1	0	1	1	1	1	1
B4GALT3	0	0	1	0	1	1	1	1
BABAM1	0	0	0	0	1	1	1	1
BACE2	0	1	0	1	1	1	1	1
BACH2	0	1	0	1	1	1	1	1
BAG3	0	1	0	1	1	1	1	1
BAG4	0	1	0	1	1	1	1	1
BAG6	0	0	1	0	1	1	1	1
BAI1	1	0	0	1	0.0254933658112394	1	0.0254933658112394	1
BAI2	0	2	1	2	1	1	1	1
BAIAP2	1	0	0	1	0.0113247320819147	1	0.0113247320819147	1
BAIAP3	0	1	1	1	1	1	1	1
BANP	0	1	0	1	1	1	1	1
BARD1	0	0	1	0	1	1	1	1
BARHL2	0	1	0	1	1	1	1	1
BAZ1B	0	1	0	1	1	1	1	1
BAZ2B	1	2	0	3	0.0501527954268282	1	0.0501527954268282	1
BBS12	0	1	0	1	1	1	1	1
BBS2	0	1	0	1	1	1	1	1
BCAP29	0	1	0	1	1	1	1	1
BCAS3	0	0	0	0	1	1	1	1
BCKDHA	0	1	0	1	1	1	1	1
BCL2L11	0	1	0	1	1	1	1	1
BCL3	0	1	0	1	1	1	1	1
BCL7C	0	1	0	1	1	1	1	1
BCL9	0	2	0	2	1	1	1	1
BCL9L	0	1	0	1	1	1	1	1
BCMO1	0	1	1	1	1	1	1	1
BCOR	2	1	0	3	0.000221997042302684	1	0.000221997042302684	1
BCORL1	1	0	1	1	0.0213076203098508	1	0.0213076203098508	1
BEND3	0	1	0	1	1	1	1	1
BHLHB9	1	0	0	1	0.00538664913360076	1	0.00538664913360076	1
BHLHE40	0	0	1	0	1	1	1	1
BICD1	0	2	0	2	1	1	1	1
BIRC6	0	1	1	1	1	1	1	1
BLMH	0	0	1	0	1	1	1	1
BLNK	0	1	0	1	1	1	1	1
BMP1	0	1	0	1	1	1	1	1
BMP5	0	2	0	2	1	1	1	1
BMP6	1	0	0	1	0.0113804099975823	1	0.0113804099975823	1
BMPER	1	0	0	1	0.0166464960234826	1	0.0166464960234826	1
BMPR2	0	1	0	1	1	1	1	1
BMS1	0	1	0	1	1	1	1	1
BOD1L1	0	2	1	2	1	1	1	1
BOK	0	1	0	1	1	1	1	1
BPIFC	0	1	0	1	1	1	1	1
BPTF	0	1	0	1	1	1	1	1
BRAF	0	3	0	3	1	1	1	1
BRD2	0	1	0	1	1	1	1	1
BRD4	0	2	0	2	1	1	1	1
BRF1	0	1	0	1	1	1	1	1
BRINP1	0	0	1	0	1	1	1	1
BRINP3	0	2	0	2	1	1	1	1
BRIP1	0	1	0	1	1	1	1	1
BRMS1L	0	1	0	1	1	1	1	1
BRPF1	0	1	0	1	1	1	1	1
BRPF3	0	1	0	1	1	1	1	1
BRSK2	0	0	1	0	1	1	1	1
BRWD1	0	1	0	1	1	1	1	1
BRWD3	0	2	0	2	1	1	1	1
BSG	0	1	0	1	1	1	1	1
BSN	0	1	0	1	1	1	1	1
BTBD2	0	0	1	0	1	1	1	1
BTBD6	0	1	0	1	1	1	1	1
BTN3A3	0	2	0	2	1	1	1	1
BUB1	0	1	0	1	1	1	1	1
BZRAP1	0	1	1	1	1	1	1	1
C10orf10	0	0	1	0	1	1	1	1
C10orf105	0	0	0	0	1	1	1	1
C10orf90	0	1	0	1	1	1	1	1
C11orf30	0	1	0	1	1	1	1	1
C11orf57	0	1	0	1	1	1	1	1
C12orf4	0	0	0	0	1	1	1	1
C12orf56	0	1	0	1	1	1	1	1
C13orf35	0	1	0	1	1	1	1	1
C15orf39	0	1	0	1	1	1	1	1
C15orf52	0	0	1	0	1	1	1	1
C17orf47	0	1	0	1	1	1	1	1
C17orf66	0	0	1	0	1	1	1	1
C17orf70	0	0	1	0	1	1	1	1
C18orf63	0	0	1	0	1	1	1	1
C18orf8	0	1	0	1	1	1	1	1
C19orf35	0	1	0	1	1	1	1	1
C19orf40	0	1	0	1	1	1	1	1
C1GALT1	0	0	1	0	1	1	1	1
C1orf168	0	1	0	1	1	1	1	1
C1orf173	0	0	1	0	1	1	1	1
C1orf194	0	1	0	1	1	1	1	1
C1orf198	1	0	0	1	0.00608928140793549	1	0.00608928140793549	1
C1orf65	0	1	0	1	1	1	1	1
C1orf94	0	1	0	1	1	1	1	1
C1QTNF2	0	1	0	1	1	1	1	1
C1RL	0	2	0	2	1	1	1	1
C20orf112	1	0	0	1	0.0112154197074136	1	0.0112154197074136	1
C20orf141	0	0	1	0	1	1	1	1
C20orf194	0	1	0	1	1	1	1	1
C20orf26	0	1	0	1	1	1	1	1
C21orf58	0	0	1	0	1	1	1	1
C21orf59	0	0	1	0	1	1	1	1
C21orf62	0	1	0	1	1	1	1	1
C22orf39	0	1	0	1	1	1	1	1
C2CD4B	0	0	1	0	1	1	1	1
C2orf42	0	1	0	1	1	1	1	1
C2orf43	0	1	0	1	1	1	1	1
C2orf71	0	0	1	0	1	1	1	1
C3	1	0	2	1	0.041554897247324	1	0.041554897247324	1
C3orf70	0	1	0	1	1	1	1	1
C5orf42	0	1	0	1	1	1	1	1
C5orf60	0	1	0	1	1	1	1	1
C7orf33	0	1	0	1	1	1	1	1
C8orf33	0	1	0	1	1	1	1	1
C8orf58	0	1	0	1	1	1	1	1
C9orf3	0	0	1	0	1	1	1	1
C9orf50	0	1	0	1	1	1	1	1
C9orf64	0	1	0	1	1	1	1	1
C9orf84	0	1	0	1	1	1	1	1
CA13	1	0	0	1	0.00663114151025836	1	0.00663114151025836	1
CA3	0	1	0	1	1	1	1	1
CA7	0	0	1	0	1	1	1	1
CABIN1	0	2	0	2	1	1	1	1
CACNA1A	1	2	0	3	1	1	1	1
CACNA1C	0	2	0	2	1	1	1	1
CACNA1E	0	2	0	2	1	1	1	1
CACNA1H	0	3	0	3	1	1	1	1
CACNA1I	0	1	0	1	1	1	1	1
CACNA2D4	0	1	0	1	1	1	1	1
CACNG3	0	0	1	0	1	1	1	1
CACTIN	0	0	0	0	1	1	1	1
CAD	0	3	0	3	1	1	1	1
CADM1	0	1	0	1	1	1	1	1
CADPS	0	1	0	1	1	1	1	1
CALCRL	0	1	0	1	1	1	1	1
CALML6	0	1	0	1	1	1	1	1
CAMK2A	1	0	1	1	0.0137635311770467	1	0.0137635311770467	1
CAMSAP1	0	1	0	1	1	1	1	1
CAND1	0	1	1	1	1	1	1	1
CAPG	0	1	0	1	1	1	1	1
CAPN9	0	0	2	0	1	1	1	1
CAPZB	0	1	0	1	1	1	1	1
CARD14	1	1	0	2	0.022339879705879	1	0.022339879705879	1
CARS2	0	0	1	0	1	1	1	1
CASC1	0	1	0	1	1	1	1	1
CASC3	0	0	1	0	1	1	1	1
CASC5	0	1	0	1	1	1	1	1
CASK	1	0	0	1	0.015278832378706	1	0.015278832378706	1
CASKIN2	0	1	0	1	1	1	1	1
CASP8	0	0	1	0	1	1	1	1
CASP9	0	1	0	1	1	1	1	1
CASZ1	0	1	3	1	1	1	1	1
CATSPERB	0	1	0	1	1	1	1	1
CATSPERG	1	0	0	1	0.0230151559958462	1	0.0230151559958462	1
CBL	1	0	1	1	0.0226963824873635	1	0.0226963824873635	1
CBLC	0	1	0	1	1	1	1	1
CBX8	0	1	0	1	1	1	1	1
CC2D2A	0	1	0	1	1	1	1	1
CCAR1	0	1	0	1	1	1	1	1
CCAR2	0	1	0	1	1	1	1	1
CCDC108	0	0	1	0	1	1	1	1
CCDC112	0	1	0	1	1	1	1	1
CCDC113	0	1	0	1	1	1	1	1
CCDC129	1	3	0	4	0.0191188690482778	1	0.0191188690482778	1
CCDC13	0	1	1	1	1	1	1	1
CCDC132	0	0	1	0	1	1	1	1
CCDC144NL	0	1	0	1	1	1	1	1
CCDC154	0	1	0	1	1	1	1	1
CCDC158	0	1	0	1	1	1	1	1
CCDC171	0	1	1	1	1	1	1	1
CCDC180	0	1	0	1	1	1	1	1
CCDC25	0	0	1	0	1	1	1	1
CCDC28A	0	0	1	0	1	1	1	1
CCDC36	0	1	0	1	1	1	1	1
CCDC39	0	0	1	0	1	1	1	1
CCDC53	0	1	0	1	1	1	1	1
CCDC82	0	1	0	1	1	1	1	1
CCDC85A	0	1	0	1	1	1	1	1
CCDC86	0	1	0	1	1	1	1	1
CCDC88A	0	2	0	2	1	1	1	1
CCDC88B	0	0	1	0	1	1	1	1
CCDC88C	0	1	0	1	1	1	1	1
CCDC92	0	1	0	1	1	1	1	1
CCDC93	0	0	1	0	1	1	1	1
CCM2	0	1	0	1	1	1	1	1
CCNB2	0	0	1	0	1	1	1	1
CCNB3	0	1	0	1	1	1	1	1
CCND1	0	0	1	0	1	1	1	1
CCNL1	1	0	1	1	0.013491537581193	1	0.013491537581193	1
CCR2	1	0	0	1	0.00702310943775421	1	0.00702310943775421	1
CCR4	0	1	0	1	1	1	1	1
CCSER1	1	0	0	1	0.0150515502728226	1	0.0150515502728226	1
CCT3	0	1	0	1	1	1	1	1
CD109	0	1	0	1	1	1	1	1
CD164	0	1	0	1	1	1	1	1
CD1C	1	1	0	2	0.00857996981247491	1	0.00857996981247491	1
CD2	0	1	0	1	1	1	1	1
CD244	0	1	0	1	1	1	1	1
CD300LB	0	1	0	1	1	1	1	1
CD3EAP	0	1	0	1	1	1	1	1
CD46	0	1	0	1	1	1	1	1
CD5	0	1	0	1	1	1	1	1
CD52	0	0	0	0	1	1	1	1
CD86	0	1	0	1	1	1	1	1
CD97	0	1	1	1	1	1	1	1
CDADC1	0	1	0	1	1	1	1	1
CDAN1	1	0	0	1	0.0276471829938513	1	0.0276471829938513	1
CDC14A	0	1	1	1	1	1	1	1
CDC27	1	0	0	1	0.0204775480389539	1	0.0204775480389539	1
CDC42	0	1	0	1	1	1	1	1
CDC42BPB	0	1	0	1	1	1	1	1
CDC42EP3	0	1	0	1	1	1	1	1
CDC5L	0	0	1	0	1	1	1	1
CDCP2	0	0	1	0	1	1	1	1
CDH12	0	1	0	1	1	1	1	1
CDH13	0	1	0	1	1	1	1	1
CDH18	0	0	1	0	1	1	1	1
CDH20	0	1	0	1	1	1	1	1
CDH24	0	1	0	1	1	1	1	1
CDH3	0	1	0	1	1	1	1	1
CDH9	0	1	0	1	1	1	1	1
CDHR2	0	1	1	1	1	1	1	1
CDHR4	0	1	0	1	1	1	1	1
CDK13	1	5	0	6	0.032361192364041	1	0.032361192364041	1
CDK5	0	0	1	0	1	1	1	1
CDK5R2	0	1	0	1	1	1	1	1
CDK5RAP2	0	1	0	1	1	1	1	1
CDKAL1	0	1	0	1	1	1	1	1
CDKL2	1	1	0	2	0.0115513977601373	1	0.0115513977601373	1
CDKN1A	0	0	1	0	1	1	1	1
CDKN1B	0	1	0	1	1	1	1	1
CDKN3	0	1	0	1	1	1	1	1
CDR2	0	1	0	1	1	1	1	1
CDYL2	0	1	1	1	1	1	1	1
CEACAM16	0	0	1	0	1	1	1	1
CEACAM21	0	1	0	1	1	1	1	1
CEBPZ	0	0	1	0	1	1	1	1
CECR2	0	1	0	1	1	1	1	1
CELF3	0	1	0	1	1	1	1	1
CELSR1	0	1	0	1	1	1	1	1
CELSR2	0	0	1	0	1	1	1	1
CELSR3	0	1	1	1	1	1	1	1
CENPE	0	1	0	1	1	1	1	1
CEP120	0	1	0	1	1	1	1	1
CEP170	0	1	0	1	1	1	1	1
CEP170B	0	1	0	1	1	1	1	1
CEP250	0	1	0	1	1	1	1	1
CEP290	0	2	1	2	1	1	1	1
CEP85	0	1	1	1	1	1	1	1
CEP95	1	0	0	1	0.0169824057586562	1	0.0169824057586562	1
CES2	0	1	0	1	1	1	1	1
CES4A	0	0	1	0	1	1	1	1
CFH	0	2	0	2	1	1	1	1
CHAD	0	2	0	2	1	1	1	1
CHAF1B	0	1	0	1	1	1	1	1
CHAMP1	1	0	0	1	0.0143411833567006	1	0.0143411833567006	1
CHAT	1	0	0	1	0.0156409529355578	1	0.0156409529355578	1
CHD1	0	1	0	1	1	1	1	1
CHD4	0	8	0	8	1	1	1	1
CHD5	0	1	0	1	1	1	1	1
CHD7	13	5	0	18	2.83892494319494e-26	1	2.83892494319494e-26	5.39395739207039e-22
CHL1	0	1	0	1	1	1	1	1
CHMP4C	0	1	0	1	1	1	1	1
CHMP7	0	0	1	0	1	1	1	1
CHORDC1	0	1	0	1	1	1	1	1
CHRNA2	0	1	0	1	1	1	1	1
CHRNB4	0	1	0	1	1	1	1	1
CHRNE	0	1	0	1	1	1	1	1
CHST5	0	0	1	0	1	1	1	1
CHST9	0	0	1	0	1	1	1	1
CHSY1	0	2	0	2	1	1	1	1
CIDEB	0	0	1	0	1	1	1	1
CIT	0	1	1	1	1	1	1	1
CKAP2	0	0	1	0	1	1	1	1
CLASP2	0	1	0	1	1	1	1	1
CLASRP	0	0	0	0	1	1	1	1
CLCN7	0	1	0	1	1	1	1	1
CLDN4	0	1	0	1	1	1	1	1
CLDND1	0	0	1	0	1	1	1	1
CLIP3	0	1	0	1	1	1	1	1
CLK1	0	1	0	1	1	1	1	1
CLK3	0	1	0	1	1	1	1	1
CLNK	0	1	0	1	1	1	1	1
CLPB	0	0	2	0	1	1	1	1
CLPTM1	0	1	0	1	1	1	1	1
CLSTN1	0	1	0	1	1	1	1	1
CLSTN3	0	1	0	1	1	1	1	1
CLTA	0	1	0	1	1	1	1	1
CLTCL1	0	1	0	1	1	1	1	1
CLU	0	0	1	0	1	1	1	1
CLUH	0	2	0	2	1	1	1	1
CLVS1	0	0	1	0	1	1	1	1
CMPK2	0	0	1	0	1	1	1	1
CMSS1	0	1	0	1	1	1	1	1
CNBD2	0	0	1	0	1	1	1	1
CNDP1	0	1	1	1	1	1	1	1
CNGA2	0	1	0	1	1	1	1	1
CNGA3	0	1	0	1	1	1	1	1
CNGB1	0	0	1	0	1	1	1	1
CNKSR1	0	1	0	1	1	1	1	1
CNKSR3	0	0	1	0	1	1	1	1
CNN1	0	1	0	1	1	1	1	1
CNOT1	1	0	0	1	0.0554611470223244	1	0.0554611470223244	1
CNOT3	0	1	0	1	1	1	1	1
CNOT6	0	1	0	1	1	1	1	1
CNPPD1	0	0	1	0	1	1	1	1
CNPY4	0	1	0	1	1	1	1	1
CNTF	0	1	0	1	1	1	1	1
CNTLN	0	1	0	1	1	1	1	1
CNTN2	0	1	0	1	1	1	1	1
CNTN6	0	1	1	1	1	1	1	1
