symbol	chr	start	end	case	control	p_value	p_value_adj
KCNJ5	11	128761251	128790930	16	1	9.999e-05	0.00019998
MAN1B1	9	139981379	140003639	14	0	9.999e-05	0.00019998
MSRA	8	9911778	10286401	22	5	9.999e-05	0.00019998
NFRKB	11	129733531	129765485	16	1	9.999e-05	0.00019998
NPDC1	9	139933922	139940655	14	0	9.999e-05	0.00019998
NTM	11	131240373	132206716	18	2	0.00019998	0.00019998
PRAMEF26	1	13216356	13219581	14	0	9.999e-05	0.00019998
PRDM10	11	129769601	129872730	16	1	9.999e-05	0.00019998
RP11-229P13.27	9	139925693	139934888	14	0	9.999e-05	0.00019998
TMEM45B	11	129685714	129729898	16	1	9.999e-05	0.00019998
TP53AIP1	11	128804626	128813294	16	1	9.999e-05	0.00019998
YPEL3	16	30103635	30108236	19	3	9.999e-05	0.00019998
YWHAE	17	1247566	1303672	14	0	9.999e-05	0.00019998
ADAMTS8	11	130274820	130298888	17	2	9.999e-05	0.00029997
AP003062.1	11	134855246	134856693	17	2	9.999e-05	0.00029997
IGSF9B	11	133778459	133826880	17	2	9.999e-05	0.00029997
ABR	17	906758	1132315	13	0	9.999e-05	0.00059994
AL137002.1	13	113755563	113756608	13	0	9.999e-05	0.00059994
ANKRD11	16	89334035	89556969	13	0	9.999e-05	0.00059994
ARRDC1	9	140500106	140509812	13	0	9.999e-05	0.00059994
B3GAT1	11	134248398	134281812	18	3	9.999e-05	0.00059994
CRIPAK	4	1385340	1389777	13	0	9.999e-05	0.00059994
CUL4A	13	113862507	113921422	13	0	9.999e-05	0.00059994
CYSRT1	9	140119087	140120763	13	0	9.999e-05	0.00059994
DCUN1D2	13	114110134	114145267	13	0	9.999e-05	0.00059994
DPH7	9	140449356	140473387	13	0	9.999e-05	0.00059994
DPP7	9	140004994	140009629	13	0	9.999e-05	0.00059994
F10	13	113777128	113803843	13	0	9.999e-05	0.00059994
F7	13	113760102	113774995	13	0	9.999e-05	0.00059994
GRTP1	13	113978479	114018463	13	0	9.999e-05	0.00059994
IRF4	6	391739	411447	15	1	9.999e-05	0.00059994
IRS2	13	110405045	110438915	13	0	9.999e-05	0.00059994
LAMP1	13	113951556	113977987	13	0	9.999e-05	0.00059994
NCAPD3	11	134020014	134095348	18	3	9.999e-05	0.00059994
NDOR1	9	140100122	140111461	13	0	9.999e-05	0.00059994
PCGF3	4	699537	764428	13	0	9.999e-05	0.00059994
PCID2	13	113831853	113863029	13	0	9.999e-05	0.00059994
PROZ	13	113812968	113826697	13	0	9.999e-05	0.00059994
PTBP1	19	797075	812327	15	1	9.999e-05	0.00059994
RNF208	9	140114699	140116033	13	0	9.999e-05	0.00059994
RNF224	9	140121723	140124090	13	0	9.999e-05	0.00059994
SLC34A3	9	140125209	140131006	13	0	9.999e-05	0.00059994
SOX1	13	112721961	112724802	13	0	9.999e-05	0.00059994
SPACA7	13	113030633	113089003	13	0	9.999e-05	0.00059994
TUBGCP3	13	113139319	113242481	13	0	9.999e-05	0.00059994
UBE2J2	1	1189289	1209265	13	0	9.999e-05	0.00059994
ZMYND19	9	140476531	140484942	13	0	9.999e-05	0.00059994
CHRNA7	15	32322691	32464722	23	7	9.999e-05	0.00089991
ALDOA	16	30064411	30081778	19	4	9.999e-05	0.0009999
PPP4C	16	30087299	30096698	19	4	9.999e-05	0.0009999
TBX6	16	30097114	30103208	19	4	9.999e-05	0.0009999
LCE3D	1	152551857	152552980	20	5	9.999e-05	0.00119988
LCE3E	1	152538130	152539248	20	5	9.999e-05	0.00119988
BHLHA9	17	1173853	1174754	14	1	0.00019998	0.00129987
GTF2H2	5	70328497	70363516	43	27	9.999e-05	0.00139986
OR4K5	14	20388741	20389818	42	26	9.999e-05	0.00149985
ANAPC2	9	140069236	140083001	12	0	9.999e-05	0.00189981
ANKRD10	13	111530887	111567416	12	0	9.999e-05	0.00189981
ARGLU1	13	107194021	107220512	12	0	9.999e-05	0.00189981
ARHGEF7	13	111766906	111958084	12	0	9.999e-05	0.00189981
ARID3A	19	925781	975939	12	0	9.999e-05	0.00189981
ATP4B	13	114303119	114312501	12	0	9.999e-05	0.00189981
C9orf173	9	140145713	140147935	12	0	9.999e-05	0.00189981
CACNA1B	9	140772241	141019076	12	0	9.999e-05	0.00189981
CARKD	13	111267807	111292340	12	0	9.999e-05	0.00189981
CARS2	13	111293759	111365950	12	0	9.999e-05	0.00189981
CCL4L2	17	34639793	34641846	12	0	9.999e-05	0.00189981
CDC16	13	115000362	115038198	12	0	9.999e-05	0.00189981
CRK	17	1323983	1366456	12	0	9.999e-05	0.00189981
CYTIP	2	158271131	158345473	12	0	9.999e-05	0.00189981
FAM132A	1	1177826	1182102	12	0	9.999e-05	0.00189981
FAM166A	9	140138036	140142222	12	0	9.999e-05	0.00189981
GRIN1	9	140032842	140063214	12	0	9.999e-05	0.00189981
GRK1	13	114321470	114440708	12	0	9.999e-05	0.00189981
ING1	13	111365083	111375686	12	0	9.999e-05	0.00189981
INPP5K	17	1397865	1420182	12	0	9.999e-05	0.00189981
KISS1R	19	917287	921015	12	0	9.999e-05	0.00189981
LRRC26	9	140063210	140064503	12	0	9.999e-05	0.00189981
MYO1C	17	1367392	1396106	12	0	9.999e-05	0.00189981
NELFA	4	1984441	2043630	12	0	9.999e-05	0.00189981
NELFB	9	140149625	140167999	12	0	9.999e-05	0.00189981
NRARP	9	140194934	140196703	12	0	9.999e-05	0.00189981
PDE6B	4	619373	664571	12	0	9.999e-05	0.00189981
PITPNA	17	1421012	1466110	12	0	9.999e-05	0.00189981
RP11-350O14.18	9	140063306	140066436	12	0	9.999e-05	0.00189981
RP11-685N3.1	2	90537839	90538397	12	0	9.999e-05	0.00189981
SSNA1	9	140083099	140084822	12	0	9.999e-05	0.00189981
STRA13	17	79976578	79981983	12	0	9.999e-05	0.00189981
TAB2	6	149539777	149732749	12	0	9.999e-05	0.00189981
TEX29	13	111968531	111996596	12	0	9.999e-05	0.00189981
TFDP1	13	114239036	114295785	12	0	9.999e-05	0.00189981
TMCO3	13	114145310	114208905	12	0	9.999e-05	0.00189981
TMEM203	9	140098534	140100090	12	0	9.999e-05	0.00189981
TMEM210	9	140065310	140066861	12	0	9.999e-05	0.00189981
TMEM255B	13	114462213	114519968	12	0	9.999e-05	0.00189981
TOR4A	9	140172201	140177093	12	0	9.999e-05	0.00189981
TPRN	9	140086069	140098645	12	0	9.999e-05	0.00189981
TUBB4B	9	140135665	140138159	12	0	9.999e-05	0.00189981
UPF3A	13	115047059	115071292	12	0	9.999e-05	0.00189981
UST	6	149068464	149398126	12	0	9.999e-05	0.00189981
ZNF316	7	6676953	6696063	12	0	9.999e-05	0.00189981
ZNF853	7	6655248	6663921	12	0	9.999e-05	0.00189981
SGK223	8	8175258	8244008	21	6	9.999e-05	0.0019998
HCN2	19	589893	617159	22	7	9.999e-05	0.00209979
ACAD8	11	134123389	134135749	18	4	9.999e-05	0.00219978
THYN1	11	134118173	134123264	18	4	9.999e-05	0.00219978
VPS26B	11	134094539	134117686	18	4	9.999e-05	0.00219978
ASPHD1	16	29911696	29931185	19	5	9.999e-05	0.0029997
C16orf92	16	30034655	30039057	19	5	9.999e-05	0.0029997
CDIPT	16	29869678	29875057	19	5	9.999e-05	0.0029997
DOC2A	16	30016830	30034591	19	5	9.999e-05	0.0029997
FAM57B	16	30035748	30064299	19	5	9.999e-05	0.0029997
HIRIP3	16	30003642	30007757	19	5	9.999e-05	0.0029997
INO80E	16	30006615	30017114	19	5	9.999e-05	0.0029997
KCTD13	16	29916333	29938356	19	5	9.999e-05	0.0029997
MVP	16	29831715	29859360	19	5	9.999e-05	0.0029997
SEZ6L2	16	29882480	29910868	19	5	9.999e-05	0.0029997
TAOK2	16	29984962	30003582	19	5	9.999e-05	0.0029997
TMEM219	16	29952206	29984373	19	5	9.999e-05	0.0029997
ADPRHL1	13	114053925	114107839	13	1	9.999e-05	0.00359964
COL4A1	13	110801310	110959496	13	1	9.999e-05	0.00359964
MED16	19	867630	893218	13	1	9.999e-05	0.00359964
PIGG	4	492999	533985	13	1	9.999e-05	0.00359964
PLPPR3	19	812488	821977	13	1	9.999e-05	0.00359964
R3HDM4	19	896503	913245	13	1	9.999e-05	0.00359964
OR4M1	14	20248401	20249516	56	44	0.00019998	0.00369963
ABHD13	13	108870727	108886603	11	0	9.999e-05	0.00439956
ASPSCR1	17	79934683	79975282	11	0	9.999e-05	0.00439956
ATP5I	4	666225	668127	11	0	9.999e-05	0.00439956
C4orf48	4	2043720	2045697	11	0	9.999e-05	0.00439956
CERS3	15	100940600	101085200	11	0	9.999e-05	0.00439956
CHKB	22	51017378	51039884	11	0	9.999e-05	0.00439956
CRHR1	17	43697710	43913192	11	0	9.999e-05	0.00439956
DCPS	11	126173647	126215644	11	0	9.999e-05	0.00439956
DDX25	11	125773271	125798724	11	0	9.999e-05	0.00439956
FAM118B	11	126081309	126132881	11	0	9.999e-05	0.00439956
FAM53A	4	1619642	1686029	11	0	9.999e-05	0.00439956
FGFR3	4	1795034	1810599	11	0	9.999e-05	0.00439956
FOXC1	6	1610207	1614132	11	0	9.999e-05	0.00439956
FOXRED1	11	126138950	126148026	11	0	9.999e-05	0.00439956
GINM1	6	149887430	149912884	11	0	9.999e-05	0.00439956
HYLS1	11	125753509	125770543	11	0	9.999e-05	0.00439956
KATNA1	6	149916009	149970108	11	0	9.999e-05	0.00439956
LETM1	4	1813206	1857974	11	0	9.999e-05	0.00439956
LIG4	13	108859787	108870716	11	0	9.999e-05	0.00439956
LINS1	15	101099574	101143435	11	0	9.999e-05	0.00439956
MAPK8IP2	22	51039114	51052409	11	0	9.999e-05	0.00439956
MAPT	17	43971748	44105700	11	0	9.999e-05	0.00439956
MFSD7	4	675618	683230	11	0	9.999e-05	0.00439956
MYL5	4	667369	675822	11	0	9.999e-05	0.00439956
NAT8L	4	2061239	2070816	11	0	9.999e-05	0.00439956
NCAPH2	22	50946645	50961901	11	0	9.999e-05	0.00439956
NKX1-1	4	1396720	1400119	11	0	9.999e-05	0.00439956
ODF3B	22	50968139	50971009	11	0	9.999e-05	0.00439956
PATE2	11	125646008	125648714	11	0	9.999e-05	0.00439956
PATE3	11	125658006	125661495	11	0	9.999e-05	0.00439956
PATE4	11	125703211	125709964	11	0	9.999e-05	0.00439956
PCSK4	19	1481427	1490751	11	0	9.999e-05	0.00439956
PPIL4	6	149825869	149867174	11	0	9.999e-05	0.00439956
PRAMEF3	1	13328196	13331692	11	0	9.999e-05	0.00439956
PRR34	22	46445358	46450024	11	0	9.999e-05	0.00439956
PUS3	11	125763380	125773116	11	0	9.999e-05	0.00439956
RPUSD4	11	126071989	126081587	11	0	9.999e-05	0.00439956
SCO2	22	50961997	50964868	11	0	9.999e-05	0.00439956
SLBP	4	1694527	1714282	11	0	9.999e-05	0.00439956
SPPL2C	17	43922201	43924438	11	0	9.999e-05	0.00439956
SRPR	11	126132814	126139039	11	0	9.999e-05	0.00439956
STH	17	44076616	44077060	11	0	9.999e-05	0.00439956
SUMO4	6	149721363	149722428	11	0	9.999e-05	0.00439956
TACC3	4	1723217	1746903	11	0	9.999e-05	0.00439956
TIRAP	11	126152960	126168740	11	0	9.999e-05	0.00439956
TMEM129	4	1717679	1723085	11	0	9.999e-05	0.00439956
TNFSF13B	13	108903588	108960832	11	0	9.999e-05	0.00439956
TYMP	22	50964181	50968485	11	0	9.999e-05	0.00439956
WHSC1	4	1873151	1983934	11	0	9.999e-05	0.00439956
ZC3H12D	6	149767931	149806197	11	0	9.999e-05	0.00439956
GDPD3	16	30116131	30125177	16	3	9.999e-05	0.00459954
MAPK3	16	30125426	30134827	16	3	9.999e-05	0.00459954
FGF22	19	639879	644371	21	7	9.999e-05	0.00519948
POLRMT	19	617224	633604	21	7	9.999e-05	0.00519948
JAM3	11	133938820	134021896	17	4	0.00019998	0.00609939
ATP11A	13	113344643	113541482	14	2	9.999e-05	0.00659934
MCF2L	13	113548692	113754053	14	2	9.999e-05	0.00659934
TUSC5	17	1182957	1204281	14	2	0.00019998	0.00659934
AC009133.23	16	29823582	29831413	18	5	9.999e-05	0.00749925
CTD-2574D22.6	16	29828560	29841948	18	5	9.999e-05	0.00749925
MAZ	16	29817427	29822485	18	5	9.999e-05	0.00749925
PAGR1	16	29827273	29831438	18	5	9.999e-05	0.00749925
PRRT2	16	29822703	29827213	18	5	9.999e-05	0.00749925
AZU1	19	825097	832018	12	1	9.999e-05	0.00889911
CCL3L1	17	34623842	34625731	12	1	9.999e-05	0.00889911
CDON	11	125825691	125933230	12	1	9.999e-05	0.00889911
CFD	19	859643	863630	12	1	9.999e-05	0.00889911
COL4A2	13	110958159	111165374	12	1	9.999e-05	0.00889911
DACH1	13	72012098	72441330	12	1	0.00019998	0.00889911
EFNB2	13	107142079	107187462	12	1	9.999e-05	0.00889911
EXD3	9	140201348	140317714	12	1	9.999e-05	0.00889911
FASN	17	80036214	80056208	12	1	9.999e-05	0.00889911
GAS6	13	114523522	114567040	12	1	0.00019998	0.00889911
OTUD7A	15	31767601	32162992	12	1	9.999e-05	0.00889911
PRTN3	19	840960	848175	12	1	9.999e-05	0.00889911
RAB20	13	111175413	111214080	12	1	9.999e-05	0.00889911
TBC1D3G	17	34745936	34808104	12	1	9.999e-05	0.00889911
TBC1D3H	17	34746119	34756993	12	1	9.999e-05	0.00889911
TBC1D3I	17	34580902	34592001	12	1	9.999e-05	0.00889911
OPCML	11	132284871	133402414	19	6	9.999e-05	0.00929907
OR4K2	14	20344391	20345468	39	26	0.00019998	0.00949905
ABCA2	9	139901679	139923374	10	0	9.999e-05	0.0120988
AC015660.1	15	100038447	100038578	10	0	0.00029997	0.0120988
AC016251.1	15	96831280	96831660	10	0	9.999e-05	0.0120988
AC022819.2	15	99859300	99859828	10	0	0.00029997	0.0120988
AC087477.1	15	96904487	96904900	10	0	9.999e-05	0.0120988
ACRV1	11	125541417	125551018	10	0	9.999e-05	0.0120988
ALDH1A3	15	101417919	101456831	10	0	9.999e-05	0.0120988
ANKRD65	1	1353800	1357149	10	0	0.00019998	0.0120988
APOD	3	195295573	195311076	10	0	9.999e-05	0.0120988
ARSA	22	51061182	51066601	10	0	9.999e-05	0.0120988
ASB7	15	101142739	101191910	10	0	9.999e-05	0.0120988
ATP6V0E1	5	172410760	172462448	10	0	9.999e-05	0.0120988
AURKAIP1	1	1309110	1310875	10	0	0.00019998	0.0120988
BNIP1	5	172571445	172591390	10	0	9.999e-05	0.0120988
C8G	9	139839698	139841426	10	0	9.999e-05	0.0120988
C9orf142	9	139886870	139888436	10	0	9.999e-05	0.0120988
C9orf172	9	139738867	139743253	10	0	9.999e-05	0.0120988
CCDC15	11	124824017	124911385	10	0	9.999e-05	0.0120988
CCDC183	9	139690802	139702193	10	0	9.999e-05	0.0120988
CCNL2	1	1321091	1334708	10	0	0.00019998	0.0120988
CHAMP1	13	115079988	115092803	10	0	9.999e-05	0.0120988
CHEK1	11	125495031	125546150	10	0	9.999e-05	0.0120988
CHSY1	15	101715928	101792137	10	0	9.999e-05	0.0120988
CLIC3	9	139889087	139891255	10	0	9.999e-05	0.0120988
CREBRF	5	172483355	172566287	10	0	9.999e-05	0.0120988
DAOA	13	106118216	106143383	10	0	9.999e-05	0.0120988
EDF1	9	139756571	139760738	10	0	9.999e-05	0.0120988
EI24	11	125439112	125454582	10	0	9.999e-05	0.0120988
ESAM	11	124622479	124632186	10	0	9.999e-05	0.0120988
FBXW5	9	139834887	139839148	10	0	9.999e-05	0.0120988
FEZ1	11	125315641	125366213	10	0	9.999e-05	0.0120988
FUT7	9	139924626	139927462	10	0	9.999e-05	0.0120988
HEPACAM	11	124789089	124806308	10	0	9.999e-05	0.0120988
HEPN1	11	124789140	124790573	10	0	9.999e-05	0.0120988
HUS1B	6	655939	656963	10	0	9.999e-05	0.0120988
KLHDC7B	22	50986462	50989452	10	0	9.999e-05	0.0120988
LATS1	6	149979289	150039392	10	0	9.999e-05	0.0120988
LCN12	9	139844003	139849949	10	0	9.999e-05	0.0120988
LCNL1	9	139876356	139880862	10	0	9.999e-05	0.0120988
LMF2	22	50941378	50946120	10	0	9.999e-05	0.0120988
LRP11	6	150139934	150185162	10	0	9.999e-05	0.0120988
LRRC27	10	134145658	134193422	10	0	9.999e-05	0.0120988
LRRC28	15	99791567	99930934	10	0	0.00029997	0.0120988
LRRK1	15	101459420	101618459	10	0	9.999e-05	0.0120988
MAMDC4	9	139745395	139755251	10	0	9.999e-05	0.0120988
MRPL20	1	1337288	1342693	10	0	0.00019998	0.0120988
MSANTD2	11	124636394	124670569	10	0	9.999e-05	0.0120988
NKX2-5	5	172659112	172662360	10	0	9.999e-05	0.0120988
NKX6-2	10	134596683	134599556	10	0	0.00019998	0.0120988
NR2F2	15	96869167	96883492	10	0	9.999e-05	0.0120988
NRGN	11	124609742	124617106	10	0	9.999e-05	0.0120988
NUP43	6	150045451	150070801	10	0	9.999e-05	0.0120988
OR8A1	11	124439893	124441038	10	0	9.999e-05	0.0120988
OR8B12	11	124412578	124413575	10	0	9.999e-05	0.0120988
OR8B2	11	124252291	124253258	10	0	9.999e-05	0.0120988
OR8B3	11	124266278	124267264	10	0	9.999e-05	0.0120988
OR8B8	11	124310022	124311054	10	0	9.999e-05	0.0120988
OR8D1	11	124179708	124180733	10	0	9.999e-05	0.0120988
PANX3	11	124481386	124490252	10	0	9.999e-05	0.0120988
PATE1	11	125616188	125619762	10	0	9.999e-05	0.0120988
PCMT1	6	150070579	150132556	10	0	9.999e-05	0.0120988
PCSK6	15	101837347	102065405	10	0	9.999e-05	0.0120988
PHPT1	9	139743176	139745479	10	0	9.999e-05	0.0120988
POLN	4	2073645	2243848	10	0	9.999e-05	0.0120988
PRAMEF5	1	13359819	13369057	10	0	9.999e-05	0.0120988
PTGDS	9	139871957	139879887	10	0	9.999e-05	0.0120988
PWWP2B	10	134210672	134231367	10	0	9.999e-05	0.0120988
RAB11FIP3	16	475619	573011	10	0	9.999e-05	0.0120988
RABL6	9	139702395	139852185	10	0	9.999e-05	0.0120988
REEP6	19	1490746	1497926	10	0	0.00019998	0.0120988
