hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func
BAZ2B	2	0	1	0	2	2.068071244318108e-05	3.345298678987242e-13
BBS12	4	0	0	0	1	1.0	4.0727801564856494e-05
BBS2	16	0	0	0	1	1.0	5.115047211880193e-05
BCAP29	7	0	0	0	1	1.0	1.326683774784282e-05
BCKDHA	19	0	0	0	1	1.0	4.06271809307769e-05
BCL2L11	2	0	0	0	1	1.0	1.171112017617942e-05
BCL3	19	0	0	0	1	1.0	3.2961913101270835e-05
BCL7C	16	0	0	0	1	1.0	1.9899604897026613e-05
BCL9	1	0	0	1	1	1.0	4.483926425074867e-09
BCL9L	11	0	0	0	1	1.0	0.00011640552698405358
BCMO1	16	0	0	0	1	1.0	3.842841141298362e-05
BCOR	X	0	2	0	1	4.989494540472281e-12	3.7975016023502355e-15
BCORL1	X	0	1	0	0	3.2061852757460738e-06	2.7813416685851303e-05
BEND3	6	0	0	0	1	1.0	7.523490397987315e-05
BHLHB9	X	1	0	0	0	8.040382380163694e-07	6.856963262585017e-06
BICD1	12	0	0	0	2	1.0	2.1740104225027526e-09
BIRC6	2	0	0	0	1	1.0	0.0002641832762008227
BLNK	10	0	0	0	1	1.0	3.144629851227716e-05
BMP1	8	0	0	0	1	1.0	8.99088332732862e-05
BMP5	6	0	0	0	2	1.0	4.797124682847676e-10
BMP6	6	1	0	0	0	4.600336042975736e-06	4.050342411687451e-05
BMPER	7	1	0	0	0	6.7470053772281384e-06	5.130786253305915e-05
BMPR2	2	0	0	0	1	1.0	6.652649664478211e-05
BMS1	10	0	0	0	1	1.0	8.426264786608646e-05
BOD1L1	4	0	0	0	2	1.0	1.354910168162089e-08
BOK	2	0	0	0	1	1.0	1.7041784481482892e-05
BPIFC	22	0	0	0	1	1.0	3.1203380479806155e-05
BPTF	17	0	0	0	1	1.0	0.0001722549152176926
BRAF	7	0	0	0	3	1.0	1.7530394362489163e-14
BRD2	6	0	0	0	1	1.0	5.435042978283439e-05
BRD4	19	0	0	0	2	1.0	5.297410467809219e-09
BRF1	14	0	0	0	1	1.0	5.399889706483769e-05
BRINP3	1	0	0	0	2	1.0	1.446451196229179e-09
BRIP1	17	0	0	0	1	1.0	7.257559662427097e-05
BRMS1L	14	0	0	1	0	1.0	2.1181034737265262e-05
BRPF1	3	0	0	0	1	1.0	0.00010117867723650402
BRPF3	6	0	0	0	1	1.0	8.811688890807514e-05
BRWD1	21	0	0	0	1	1.0	0.000137472719664763
BRWD3	X	0	0	0	2	1.0	3.470891376078685e-10
BSG	19	0	0	0	1	1.0	3.4517856172399865e-05
BSN	3	0	0	0	1	1.0	0.0002983156852850679
BTBD6	14	0	0	0	1	1.0	3.6393919809274654e-05
BTN3A3	6	0	0	0	2	1.0	7.330054773193407e-10
BUB1	2	0	0	0	1	1.0	6.23866994029852e-05
BZRAP1	17	0	0	0	1	1.0	0.0001294486638242614
C10orf90	10	0	0	0	1	1.0	4.978204158204968e-05
C11orf30	11	0	0	0	1	1.0	8.243604496602288e-05
C11orf57	11	0	0	0	1	1.0	1.7444314468576878e-05
C12orf56	12	0	0	0	1	1.0	2.908446853137249e-05
C13orf35	13	0	0	0	1	1.0	9.513742432858534e-06
C15orf39	15	0	0	0	1	1.0	7.195320267870064e-05
C17orf47	17	0	0	0	1	1.0	3.56269615449568e-05
C18orf8	18	0	0	0	1	1.0	4.776166483071825e-05
C19orf35	19	0	0	0	1	1.0	3.083364384980176e-05
C19orf40	19	0	0	0	1	1.0	1.543633284009842e-05
C1QTNF2	5	0	0	0	1	1.0	2.9284516350180555e-05
C1RL	12	0	0	0	2	1.0	6.093909774084501e-10
C1orf168	1	0	0	0	1	1.0	4.0278269715616394e-05
C1orf194	1	0	0	0	1	1.0	1.0967307406434375e-05
C1orf198	1	0	1	0	0	2.4549393859743797e-06	2.3060089545748406e-05
C1orf65	1	0	0	0	1	1.0	5.3564931136376185e-05
C1orf94	1	0	0	0	1	1.0	2.7523891681468846e-05
C20orf112	20	1	0	0	0	4.533264147796869e-06	4.126665181310602e-05
C20orf194	20	0	0	0	1	1.0	7.306732500037259e-05
C20orf26	20	0	0	0	1	1.0	8.876994007601263e-05
C21orf62	21	0	0	0	1	1.0	1.3969798104998388e-05
C22orf39	22	0	0	0	1	1.0	5.65470885515593e-06
C2orf42	2	0	0	0	1	1.0	3.811326381382861e-05
C2orf43	2	0	0	0	1	1.0	1.939013063828182e-05
C3	19	0	1	0	0	1.705893498511179e-05	0.00013799271619884521
C3orf70	3	0	0	0	1	1.0	1.8270027851665252e-05
C5orf42	5	0	0	0	1	1.0	0.00012405023285862776
C5orf60	5	0	0	0	1	1.0	0.0
C6orf120	6	0	0	0	1	1.0	2.0640136489914713e-05
C7orf33	7	0	0	0	1	1.0	1.2447691519748796e-05
C8orf33	8	0	0	0	1	1.0	1.9462170794005902e-05
C8orf58	8	0	0	0	1	1.0	2.7234541614757564e-05
C9orf50	9	0	0	0	1	1.0	2.501291444059591e-05
C9orf64	9	0	0	0	1	1.0	2.6625019153330814e-05
C9orf84	9	0	0	0	1	1.0	7.622615417816527e-05
CA13	8	0	1	0	0	2.6741223128008116e-06	1.7439720294873568e-05
CA3	8	0	0	0	1	1.0	1.8009857349648056e-05
CABIN1	22	0	0	0	2	1.0	1.2619691099754664e-08
CACNA1C	12	0	0	0	2	1.0	1.4657799568464095e-08
CACNA1E	1	0	0	0	2	1.0	1.4581011211812527e-08
CACNA1H	16	0	0	1	2	1.0	7.243553016463394e-13
CACNA1I	22	0	0	0	1	1.0	0.00013884183448907106
CACNA2D4	12	0	0	0	1	1.0	8.27005553853035e-05
CAD	2	0	0	0	3	1.0	9.490657566363774e-13
CADM1	11	0	0	0	1	1.0	2.9558828553864286e-05
CADPS	3	0	0	0	1	1.0	9.246420976952116e-05
CALCRL	2	0	0	0	1	1.0	2.6255385902470507e-05
CALML6	1	0	0	0	1	1.0	1.1951475226000226e-05
CAMK2A	5	0	1	0	0	5.570373046831714e-06	3.98522992510897e-05
CAMSAP1	9	0	0	0	1	1.0	0.0001071785374753838
CAND1	12	0	0	0	1	1.0	6.977622840515329e-05
CAPG	2	0	0	0	1	1.0	2.5360467731342818e-05
CAPZB	1	0	0	0	1	1.0	1.8691894593710705e-05
CARD14	17	0	1	0	1	9.080824769805789e-06	2.9529199654002627e-09
CASC1	12	0	0	1	0	1.0	3.944407654503087e-05
CASC5	15	0	0	0	1	1.0	0.0001255094245698601
CASK	X	0	1	0	0	2.2919999399664452e-06	1.4306529223380698e-05
CASKIN2	17	0	0	0	1	1.0	9.57680849044574e-05
CASP9	1	0	0	0	1	1.0	2.7556874687085906e-05
CASZ1	1	0	0	0	1	1.0	0.00015440060898700477
CATSPERB	14	0	0	0	1	1.0	6.733983889754362e-05
CATSPERG	19	0	1	0	0	9.358533318660068e-06	6.718668690536221e-05
CBL	11	0	1	0	0	9.22741325781114e-06	5.8674438141098476e-05
CBLC	19	0	0	0	1	1.0	3.6569557539076466e-05
CBX8	17	0	0	0	1	1.0	3.635131499314324e-05
CC2D2A	4	0	0	0	1	1.0	9.348234923894585e-05
CCAR1	10	0	0	0	1	1.0	7.517378545289872e-05
CCAR2	8	0	0	0	1	1.0	6.425824572418513e-05
CCDC112	5	0	0	0	1	1.0	2.279432093301875e-05
CCDC113	16	0	0	0	1	1.0	2.79560910332949e-05
CCDC129	7	0	1	0	3	7.758811564914117e-06	4.720306312215687e-19
CCDC13	3	0	0	0	1	1.0	5.156817524789133e-05
CCDC144NL	17	0	0	0	1	1.0	1.6858479698326543e-05
CCDC154	16	0	0	0	1	1.0	0.0
CCDC158	4	0	0	0	1	1.0	6.938207934765412e-05
CCDC171	9	0	0	0	1	1.0	8.014073617962989e-05
CCDC180	9	0	0	0	1	1.0	9.850798596956805e-05
CCDC36	3	0	0	0	1	1.0	3.1167836762419196e-05
CCDC53	12	0	0	0	1	1.0	8.337263942869712e-06
CCDC82	11	0	0	0	1	1.0	3.3027116495438805e-05
CCDC85A	2	0	0	0	1	1.0	3.441406231780848e-05
CCDC86	11	0	0	0	1	1.0	3.396861713920352e-05
CCDC88A	2	0	0	0	2	1.0	5.360920484633788e-09
CCDC88C	14	0	0	0	1	1.0	0.00014523524074009175
CCDC92	12	0	0	0	1	1.0	2.7823948605288613e-05
CCM2	7	0	0	0	1	1.0	3.4076878270357276e-05
CCNB3	X	0	0	0	1	1.0	1.7017265223165946e-05
CCNL1	3	0	1	0	0	5.4595410980248034e-06	3.614970663720718e-05
CCR2	3	1	0	0	0	2.8327482192455156e-06	2.3806495027874654e-05
CCR4	3	0	0	0	1	1.0	2.121532331536431e-05
CCSER1	4	0	1	0	0	6.095630329104446e-06	4.0314565415982386e-05
CCT3	1	0	0	0	1	1.0	4.114728857638282e-05
CD109	6	0	0	0	1	1.0	7.946551564154883e-05
CD164	6	0	0	0	1	1.0	1.553806201760103e-05
CD1C	1	0	1	0	1	3.463414283049819e-06	2.1339978732694504e-10
CD2	1	0	0	0	1	1.0	2.130099618630299e-05
CD244	1	0	0	0	1	1.0	2.1462627187685138e-05
CD300LB	17	0	0	0	1	1.0	1.657127407409079e-05
CD3EAP	19	0	0	0	1	1.0	3.2929941356981775e-05
CD46	1	0	0	0	1	1.0	2.5868605076081504e-05
CD5	11	0	0	0	1	1.0	3.558159863675898e-05
CD86	3	0	0	0	1	1.0	2.0035950483529448e-05
CD97	19	0	0	0	1	1.0	6.75413581957181e-05
CDADC1	13	0	0	0	1	1.0	2.8294833019125342e-05
CDAN1	15	1	0	0	0	1.12686503041702e-05	8.254193049406512e-05
CDC14A	1	0	0	0	1	1.0	3.846265121331229e-05
CDC27	17	0	1	0	0	8.315930053122982e-06	4.8088176138942046e-05
CDC42	1	0	0	0	1	1.0	1.1975665999669315e-05
CDC42BPB	14	0	0	0	1	1.0	0.00013047339947310163
CDC42EP3	2	0	0	0	1	1.0	1.577157368224907e-05
CDH12	5	0	0	0	1	1.0	5.208263018863346e-05
CDH13	16	0	0	0	1	1.0	5.013158881687918e-05
CDH20	18	0	0	0	1	1.0	6.2211735542588e-05
CDH24	14	0	0	0	1	1.0	6.0435402337271734e-05
CDH3	16	0	0	0	1	1.0	5.923606594862402e-05
CDH9	5	0	0	0	1	1.0	5.3037529289833154e-05
CDHR2	5	0	0	0	1	1.0	0.00010191170932013333
CDHR4	3	0	0	0	1	1.0	1.2804485071882423e-05
CDK13	7	0	1	0	5	1.3221935878958427e-05	3.967669293532961e-28
CDK5R2	2	0	0	0	1	1.0	3.096349582263461e-05
CDK5RAP2	9	0	0	0	1	1.0	0.00011855901537523735
CDKAL1	6	0	0	0	1	1.0	3.6141202908882186e-05
CDKL2	4	1	0	0	1	4.669857839789633e-06	3.8634968062207357e-10
CDKN1B	12	0	0	0	1	1.0	1.8648163958995847e-05
CDKN3	14	0	0	0	1	1.0	1.2491620740231795e-05
CDR2	16	0	0	0	1	1.0	3.07852451007448e-05
CDYL2	16	0	0	0	1	1.0	3.983161729056992e-05
CEACAM21	19	0	0	0	1	1.0	1.938952209553498e-05
CECR2	22	0	0	0	1	1.0	0.00010385990090520135
CELF3	1	0	0	0	1	1.0	3.058034242382427e-05
CELSR1	22	0	0	0	1	1.0	0.0002686401578737339
CELSR3	3	0	0	0	1	1.0	0.0002922098130155671
CENPE	4	0	0	0	1	1.0	0.00014215297899618096
CEP120	5	0	0	0	1	1.0	6.183600367775176e-05
CEP170	1	0	0	0	1	1.0	9.447121887141109e-05
CEP170B	14	0	0	0	1	1.0	0.00010113246761413134
CEP250	20	0	0	0	1	1.0	0.00015458980589322583
CEP290	12	0	0	0	2	1.0	5.699059697762991e-09
CEP85	1	0	0	0	1	1.0	5.0004577559912234e-05
CEP95	17	1	0	0	0	6.884325370057264e-06	4.6489782750617376e-05
CES2	16	0	0	0	1	1.0	4.7228174598161594e-05
CFH	1	0	0	0	2	1.0	2.897061516889144e-09
CHAD	17	0	0	0	2	1.0	4.901105207664929e-10
CHAF1B	21	0	0	0	1	1.0	4.063826482253973e-05
CHAMP1	13	0	1	0	0	5.805856138736762e-06	4.77654082117173e-05
CHAT	10	0	1	0	0	6.336219176969741e-06	5.068205092156605e-05
CHD1	5	0	0	0	1	1.0	0.0001005668496725363
CHD4	12	0	0	0	8	1.0	3.620010525660789e-36
CHD5	1	0	0	0	1	1.0	0.00015855578364511806
CHD7	8	2	11	0	5	2.1476384050056335e-70	2.4915419140659012e-83
CHL1	3	0	0	0	1	1.0	7.358123892474621e-05
CHMP4C	8	0	0	0	1	1.0	1.568758433752392e-05
CHORDC1	11	0	0	0	1	1.0	1.9118165117421528e-05
CHRNA2	8	0	0	0	1	1.0	4.180542477841479e-05
CHRNB4	15	0	0	0	1	1.0	3.9712089557778086e-05
CHRNE	17	0	0	0	1	1.0	4.931028039592409e-05
CHSY1	15	0	0	0	2	1.0	1.417405161106095e-09
CIT	12	0	0	0	1	1.0	0.0001587976791305177
CLASP2	3	0	0	0	1	1.0	8.542167956905497e-05
CLCN7	16	0	0	0	1	1.0	5.7942102445652556e-05
